chunk_size,ratio,rep,touches,bytes_touched,wall_ns,io_read_bytes_delta,rc
33554432,0.25,1,320,10737418240,3211373871,10737455104,0
33554432,0.25,2,320,10737418240,3148110246,10737455104,0
33554432,0.25,3,320,10737418240,3355235175,10737455104,0
33554432,0.5,1,320,10737418240,3450498074,10737455104,0
33554432,0.5,2,320,10737418240,3277597378,10737455104,0
33554432,0.5,3,320,10737418240,3420912898,10737455104,0
33554432,0.75,1,320,10737418240,4794820495,10737455104,0
33554432,0.75,2,320,10737418240,3001682789,10737455104,0
33554432,0.75,3,320,10737418240,3007132394,10737455104,0
67108864,0.25,1,160,10737418240,3026753179,10737455104,0
67108864,0.25,2,160,10737418240,3079068760,10737455104,0
67108864,0.25,3,160,10737418240,3005483608,10737455104,0
67108864,0.5,1,160,10737418240,3371500994,10737455104,0
67108864,0.5,2,160,10737418240,2951660130,10737455104,0
67108864,0.5,3,160,10737418240,3090320197,10737455104,0
67108864,0.75,1,160,10737418240,4003911212,10737455104,0
67108864,0.75,2,160,10737418240,2894665382,10737455104,0
67108864,0.75,3,160,10737418240,3037890352,10737455104,0
134217728,0.25,1,80,10737418240,2934233342,10737455104,0
134217728,0.25,2,80,10737418240,3042276156,10737315840,0
134217728,0.25,3,80,10737418240,2924385180,10737455104,0
134217728,0.5,1,80,10737418240,3791451004,10737455104,0
134217728,0.5,2,80,10737418240,2995396463,10737455104,0
134217728,0.5,3,80,10737418240,3043125287,10737455104,0
134217728,0.75,1,80,10737418240,4151239912,10737455104,0
134217728,0.75,2,80,10737418240,2968040627,10737455104,0
134217728,0.75,3,80,10737418240,3751871522,10737455104,0
268435456,0.25,1,40,10737418240,3075673019,10737455104,0
268435456,0.25,2,40,10737418240,2919288996,10737442816,0
268435456,0.25,3,40,10737418240,3020027283,10737455104,0
268435456,0.5,1,40,10737418240,4102673795,10737455104,0
268435456,0.5,2,40,10737418240,3006589207,10737389568,0
268435456,0.5,3,40,10737418240,3005744475,10737455104,0
268435456,0.75,1,40,10737418240,3867504935,10737455104,0
268435456,0.75,2,40,10737418240,3031279384,10737455104,0
268435456,0.75,3,40,10737418240,3266034601,10737455104,0
