cell,threads,window,compute,chunk_size,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,pager_bytes_fetched,rc
1,1,0,0,134217728,1,80,10737418240,3931741590,57,49,0,7650410496,0
1,1,0,0,134217728,2,80,10737418240,3528974059,57,49,0,7650410496,0
1,1,0,0,134217728,3,80,10737418240,3534531138,57,49,0,7650410496,0
1,1,0,0,134217728,4,80,10737418240,3562604629,57,49,0,7650410496,0
1,1,0,0,134217728,5,80,10737418240,3569827045,57,49,0,7650410496,0
2,1,0,400000,134217728,1,80,10737418240,10165674324,57,49,0,7650410496,0
2,1,0,400000,134217728,2,80,10737418240,10629414137,57,49,0,7650410496,0
2,1,0,400000,134217728,3,80,10737418240,10557879352,57,49,0,7650410496,0
2,1,0,400000,134217728,4,80,10737418240,10563003355,57,49,0,7650410496,0
2,1,0,400000,134217728,5,80,10737418240,10525217349,57,49,0,7650410496,0
3,8,0,0,134217728,1,80,10737418240,3587722352,57,49,0,7650410496,0
3,8,0,0,134217728,2,80,10737418240,3710817221,57,49,0,7650410496,0
3,8,0,0,134217728,3,80,10737418240,3789481069,57,49,0,7650410496,0
3,8,0,0,134217728,4,80,10737418240,4076842114,57,49,0,7650410496,0
3,8,0,0,134217728,5,80,10737418240,3818994059,57,49,0,7650410496,0
4,8,1,0,134217728,1,80,10737418240,3722221581,57,49,0,7650410496,0
4,8,1,0,134217728,2,80,10737418240,3689539836,57,49,0,7650410496,0
4,8,1,0,134217728,3,80,10737418240,3647563255,57,49,0,7650410496,0
4,8,1,0,134217728,4,80,10737418240,3681146707,57,49,0,7650410496,0
4,8,1,0,134217728,5,80,10737418240,3795250832,57,49,0,7650410496,0
5,8,1,400000,134217728,1,80,10737418240,5588358692,76,68,0,10200547328,0
5,8,1,400000,134217728,2,80,10737418240,5233567346,77,69,0,10334765056,0
5,8,1,400000,134217728,3,80,10737418240,5050475341,70,62,0,9395240960,0
5,8,1,400000,134217728,4,80,10737418240,5107502893,72,64,0,9663676416,0
5,8,1,400000,134217728,5,80,10737418240,5202853697,73,65,0,9797894144,0
6,8,1,400000,8388608,1,1280,10737418240,5965257824,1059,931,0,8883535872,0
6,8,1,400000,8388608,2,1280,10737418240,5983747080,1029,901,0,8631877632,0
6,8,1,400000,8388608,3,1280,10737418240,6010653284,1063,935,0,8917090304,0
6,8,1,400000,8388608,4,1280,10737418240,6053561443,1061,933,0,8900313088,0
6,8,1,400000,8388608,5,1280,10737418240,5917478756,1063,935,0,8917090304,0
