ratio,arm,mode,rep,touches,bytes_touched,wall_ns,io_read_bytes_delta,rc
0.25,A,normal,1,80,10737418240,5535389380,10743746560,0
0.25,A,normal,2,80,10737418240,3986869762,10743746560,0
0.25,A,normal,3,80,10737418240,4794007220,10743746560,0
0.25,A,sequential,1,80,10737418240,4107129164,10737455104,0
0.25,A,sequential,2,80,10737418240,3514200507,10737455104,0
0.25,A,sequential,3,80,10737418240,3202458658,10737455104,0
0.25,B,normal,1,80,10737418240,4332419861,10192158720,0
0.25,B,normal,2,80,10737418240,3112874822,10192158720,0
0.25,B,normal,3,80,10737418240,3322081428,10192158720,0
0.375,A,normal,1,80,10737418240,5500862914,10743746560,0
0.375,A,normal,2,80,10737418240,3367474390,10743746560,0
0.375,A,normal,3,80,10737418240,3572620539,10762620928,0
0.25,A,random,1,80,10737418240,200426256711,10737455104,0
0.25,A,random,2,,,,,124
0.25,A,random,3,,,,,124
0.375,A,random,1,,,,,124
0.375,A,random,2,80,10737418240,193487485548,10737446912,0
0.375,A,random,3,80,10737418240,189698897714,10737430528,0
0.5,A,random,1,80,10737418240,203479887503,10736697344,0
0.5,A,random,2,,,,,124
0.5,A,random,3,,,,,124
0.625,A,random,1,,,,,124
0.625,A,random,2,,,,,124
0.625,A,random,3,,,,,124
0.75,A,random,1,80,10737418240,216435286918,10667225088,0
0.75,A,random,2,80,10737418240,199313253954,10733060096,0
0.75,A,random,3,80,10737418240,204996755561,10705633280,0
0.375,A,sequential,1,80,10737418240,3193870956,10737389568,0
0.375,A,sequential,2,80,10737418240,2803228051,10737455104,0
0.375,A,sequential,3,80,10737418240,2758749278,10737389568,0
0.375,B,normal,1,80,10737418240,2652568267,10192158720,0
0.375,B,normal,2,80,10737418240,2470499427,10192158720,0
0.375,B,normal,3,80,10737418240,2414792728,10192158720,0
0.5,A,normal,1,80,10737418240,3599097562,10796175360,0
0.5,A,normal,2,80,10737418240,3237294960,10798272512,0
0.5,A,normal,3,80,10737418240,3362817177,10800369664,0
0.5,A,sequential,1,80,10737418240,3121153188,10737455104,0
0.5,A,sequential,2,80,10737418240,3123182474,10737455104,0
0.5,A,sequential,3,80,10737418240,2839320024,10737455104,0
0.5,B,normal,1,80,10737418240,2769207714,10192158720,0
0.5,B,normal,2,80,10737418240,2635055271,10192158720,0
0.5,B,normal,3,80,10737418240,2395189500,10192158720,0
0.625,A,normal,1,80,10737418240,3466466963,10781495296,0
0.625,A,normal,2,80,10737418240,2879431119,10785402880,0
0.625,A,normal,3,80,10737418240,3658460662,10773041152,0
0.625,A,sequential,1,80,10737418240,3492608492,10737455104,0
0.625,A,sequential,2,80,10737418240,3409138223,10737455104,0
0.625,A,sequential,3,80,10737418240,2935751609,10737389568,0
0.625,B,normal,1,80,10737418240,2652016172,10192158720,0
0.625,B,normal,2,80,10737418240,2926564657,10192158720,0
0.625,B,normal,3,80,10737418240,2621253751,10192158720,0
0.75,A,normal,1,80,10737418240,5259770725,10775203840,0
0.75,A,normal,2,80,10737418240,3419779341,10781483008,0
0.75,A,normal,3,80,10737418240,3627555153,10773106688,0
0.75,A,sequential,1,80,10737418240,3473966222,10737455104,0
0.75,A,sequential,2,80,10737418240,3758166623,10737389568,0
0.75,A,sequential,3,80,10737418240,3480030518,10737455104,0
0.75,B,normal,1,80,10737418240,2932438151,10192158720,0
0.75,B,normal,2,80,10737418240,2931026162,10192158720,0
0.75,B,normal,3,80,10737418240,3208756012,10192158720,0
