ratio,arm,detail,touches,wall_ns,absent_handled,evictions,infeasible,prefetches,majflt_delta,pgscan_delta,pgsteal_delta,censored,exit_code
0.25,A,mmap_normal_off,40,100593353,n/a,n/a,n/a,n/a,30,1114058,32423,0,0
0.25,A,mmap_random_off,40,1900824,n/a,n/a,n/a,n/a,8,0,0,0,0
0.25,A,mmap_sequential_off,40,85564858,n/a,n/a,n/a,n/a,35,727114,32797,0,0
0.25,B,mmap_random_on,40,4434101,n/a,n/a,n/a,n/a,33,0,0,0,0
0.25,C,lru_off,40,67726380,40,38,0,0,,,,0,0
0.25,D,layer_order_off,40,59203513,36,34,0,0,,,,0,0
0.25,E,layer_order_on,40,79438702,28,44,0,18,,,,0,0
0.25,OPT,belady_over_D_trace,,,31,,,,,,,0,
0.5,A,mmap_normal_off,40,8575942,n/a,n/a,n/a,n/a,1,2975,2860,0,0
0.5,A,mmap_random_off,40,1465552,n/a,n/a,n/a,n/a,8,0,0,0,0
0.5,A,mmap_sequential_off,40,36303251,n/a,n/a,n/a,n/a,10,36778,19295,0,0
0.5,B,mmap_random_on,40,9810023,n/a,n/a,n/a,n/a,32,0,0,0,0
0.5,C,lru_off,40,67436431,40,36,0,0,,,,0,0
0.5,D,layer_order_off,40,45283039,29,25,0,0,,,,0,0
0.5,E,layer_order_on,40,50953175,23,28,0,9,,,,0,0
0.5,OPT,belady_over_D_trace,,,17,,,,,,,0,
0.75,A,mmap_normal_off,40,7629523,n/a,n/a,n/a,n/a,1,477,457,0,0
0.75,A,mmap_random_off,40,1312417,n/a,n/a,n/a,n/a,8,0,0,0,0
0.75,A,mmap_sequential_off,40,34940344,n/a,n/a,n/a,n/a,6,16911,16901,0,0
0.75,B,mmap_random_on,40,8179910,n/a,n/a,n/a,n/a,32,0,0,0,0
0.75,C,lru_off,40,64777292,40,34,0,0,,,,0,0
0.75,D,layer_order_off,40,35523267,21,15,0,0,,,,0,0
0.75,E,layer_order_on,40,38281624,19,20,0,7,,,,0,0
0.75,OPT,belady_over_D_trace,,,9,,,,,,,0,
