depth,ratio,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta
1,0.25,1,80,10737418240,5698176803,55,81,0,30,11408506880,11408506880
1,0.25,2,80,10737418240,5406875630,55,81,0,30,11408506880,11408506880
1,0.25,3,80,10737418240,5648220244,55,81,0,30,11408506880,11408506880
2,0.25,1,80,10737418240,4351169356,43,84,0,45,11811160064,11811160064
2,0.25,2,80,10737418240,4359544118,43,84,0,45,11811160064,11811160064
2,0.25,3,80,10737418240,4406261108,43,84,0,45,11811160064,11811160064
4,0.25,1,80,10737418240,4513778577,35,100,13,69,13958643712,13958643712
4,0.25,2,80,10737418240,4359149820,35,96,0,65,13421772800,13421772800
4,0.25,3,80,10737418240,4378674458,35,100,12,69,13958643712,13958643712
8,0.25,1,80,10737418240,5174972079,40,127,73,91,17582522368,17582522368
8,0.25,2,80,10737418240,4891840087,39,116,32,81,16106127360,16106127360
8,0.25,3,80,10737418240,5325505955,42,127,45,89,17582522368,17582522368
1,0.5,1,80,10737418240,4457283671,44,56,0,20,8589934592,8589934592
1,0.5,2,80,10737418240,4333057895,44,56,0,20,8589934592,8589934592
1,0.5,3,80,10737418240,3995944161,44,56,0,20,8589934592,8589934592
2,0.5,1,80,10737418240,4377975304,42,70,0,36,10468982784,10468982784
2,0.5,2,80,10737418240,4053232199,42,70,0,36,10468982784,10468982784
2,0.5,3,80,10737418240,4142346075,42,70,0,36,10468982784,10468982784
4,0.5,1,80,10737418240,3728189476,35,66,0,39,9932111872,9932111872
4,0.5,2,80,10737418240,3745786753,35,66,0,39,9932111872,9932111872
4,0.5,3,80,10737418240,3549755071,35,66,0,39,9932111872,9932111872
8,0.5,1,80,10737418240,3454822514,27,74,0,55,11005853696,11005853696
8,0.5,2,80,10737418240,3636921125,27,74,0,55,11005853696,11005853696
8,0.5,3,80,10737418240,3564087470,27,74,0,55,11005853696,11005853696
1,0.75,1,80,10737418240,2750116271,32,28,0,8,5368709120,5368709120
1,0.75,2,80,10737418240,2603245250,32,28,0,8,5368709120,5368709120
1,0.75,3,80,10737418240,2755795727,32,28,0,8,5368709120,5368709120
2,0.75,1,80,10737418240,2430959445,27,29,0,14,5502926848,5502926848
2,0.75,2,80,10737418240,2521969774,27,29,0,14,5502926848,5502926848
2,0.75,3,80,10737418240,2381851356,27,29,0,14,5502926848,5502926848
4,0.75,1,80,10737418240,2477848651,26,36,0,22,6442450944,6442450944
4,0.75,2,80,10737418240,2774608958,26,36,0,22,6442450944,6442450944
4,0.75,3,80,10737418240,2779361832,26,36,0,22,6442450944,6442450944
8,0.75,1,80,10737418240,3054343691,26,36,0,22,6442450944,6442450944
8,0.75,2,80,10737418240,2398023596,26,36,0,22,6442450944,6442450944
8,0.75,3,80,10737418240,2545702032,26,36,0,22,6442450944,6442450944
