ratio,config,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,dedup_resident,dedup_fetching,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.25,sync,1,80,10737418240,4867759528,69,65,0,0,0,9261023232,9261023232,0,0
0.25,sync,2,80,10737418240,4765632725,69,65,0,0,0,9261023232,9261023232,0,0
0.25,sync,3,80,10737418240,4715493104,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw1,1,80,10737418240,4613208229,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw1,2,80,10737418240,4806364659,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw1,3,80,10737418240,4929743718,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw2,1,80,10737418240,5348181570,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw2,2,80,10737418240,5024441618,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw2,3,80,10737418240,4943234964,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw4,1,80,10737418240,5074000440,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw4,2,80,10737418240,5262105277,69,65,0,0,0,9261023232,9261023232,0,0
0.25,async_fw4,3,80,10737418240,4984565904,69,65,0,0,0,9261023232,9261023232,0,0
0.5,sync,1,80,10737418240,4947214758,57,49,0,0,0,7650410496,7650410496,0,0
0.5,sync,2,80,10737418240,4641615945,57,49,0,0,0,7650410496,7650410496,0,0
0.5,sync,3,80,10737418240,4680550503,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw1,1,80,10737418240,4409983338,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw1,2,80,10737418240,4232711958,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw1,3,80,10737418240,4414410747,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw2,1,80,10737418240,4321869479,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw2,2,80,10737418240,4399760549,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw2,3,80,10737418240,4494838658,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw4,1,80,10737418240,4652971757,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw4,2,80,10737418240,4307378308,57,49,0,0,0,7650410496,7650410496,0,0
0.5,async_fw4,3,80,10737418240,4944492365,57,49,0,0,0,7650410496,7650410496,0,0
0.75,sync,1,80,10737418240,3675731848,41,29,0,0,0,5502926848,5502926848,0,0
0.75,sync,2,80,10737418240,3099288601,41,29,0,0,0,5502926848,5502926848,0,0
0.75,sync,3,80,10737418240,3125112534,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw1,1,80,10737418240,3096810039,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw1,2,80,10737418240,3302506439,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw1,3,80,10737418240,3149187663,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw2,1,80,10737418240,2975345610,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw2,2,80,10737418240,3480450947,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw2,3,80,10737418240,3485977603,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw4,1,80,10737418240,3545710923,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw4,2,80,10737418240,3144367427,41,29,0,0,0,5502926848,5502926848,0,0
0.75,async_fw4,3,80,10737418240,3151818048,41,29,0,0,0,5502926848,5502926848,0,0
