ratio,driver_threads,handler,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,dedup_resident,dedup_fetching,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.25,1,sync,1,80,10737418240,4629034730,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,sync,2,80,10737418240,4352209180,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,sync,3,80,10737418240,4304121422,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,async,1,80,10737418240,4344807629,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,async,2,80,10737418240,4451338452,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,async,3,80,10737418240,4492012051,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,sync,1,80,10737418240,4454635898,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,sync,2,80,10737418240,4398455269,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,sync,3,80,10737418240,4327288344,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,async,1,80,10737418240,4448016738,69,65,0,3,66,9261023232,9261023232,0,0
0.25,2,async,2,80,10737418240,4438103425,69,65,0,7,62,9261023232,9261023232,0,0
0.25,2,async,3,80,10737418240,4464379187,69,65,0,1,68,9261023232,9261023232,0,0
0.25,4,sync,1,80,10737418240,4410849722,69,65,0,0,0,9261023232,9261023232,0,0
0.25,4,sync,2,80,10737418240,4409306527,69,65,0,0,0,9261023232,9261023232,0,0
0.25,4,sync,3,80,10737418240,4382797722,69,65,0,0,0,9261023232,9261023232,0,0
0.25,4,async,1,80,10737418240,4462649620,69,65,0,6,201,9261023232,9261023232,0,0
0.25,4,async,2,80,10737418240,4488011828,69,65,0,3,204,9261023232,9261023232,0,0
0.25,4,async,3,80,10737418240,4335532286,69,65,0,5,201,9261023232,9261023232,0,0
0.25,8,sync,1,80,10737418240,4448301368,69,65,0,0,0,9261023232,9261023232,0,0
0.25,8,sync,2,80,10737418240,4330873152,69,65,0,0,0,9261023232,9261023232,0,0
0.25,8,sync,3,80,10737418240,4421479077,69,65,0,0,0,9261023232,9261023232,0,0
0.25,8,async,1,80,10737418240,4434292234,69,65,0,25,428,9261023232,9261023232,0,0
0.25,8,async,2,80,10737418240,4443183118,69,65,0,18,435,9261023232,9261023232,0,0
0.25,8,async,3,80,10737418240,4342231083,69,65,0,38,399,9261023232,9261023232,0,0
0.5,1,sync,1,80,10737418240,3975267560,57,49,0,0,0,7650410496,7650410496,0,0
0.5,1,sync,2,80,10737418240,3719915153,57,49,0,0,0,7650410496,7650410496,0,0
0.5,1,sync,3,80,10737418240,3759048334,57,49,0,0,0,7650410496,7650410496,0,0
0.5,1,async,1,80,10737418240,3813563998,57,49,0,0,0,7650410496,7650410496,0,0
0.5,1,async,2,80,10737418240,3675297114,57,49,0,0,0,7650410496,7650410496,0,0
0.5,1,async,3,80,10737418240,3683633071,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,sync,1,80,10737418240,3682109296,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,sync,2,80,10737418240,3743976833,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,sync,3,80,10737418240,3749879008,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,async,1,80,10737418240,4049678407,57,49,0,3,54,7650410496,7650410496,0,0
0.5,2,async,2,80,10737418240,3700407283,57,49,0,4,53,7650410496,7650410496,0,0
0.5,2,async,3,80,10737418240,3720275298,57,49,0,3,54,7650410496,7650410496,0,0
0.5,4,sync,1,80,10737418240,3749858456,57,49,0,0,0,7650410496,7650410496,0,0
0.5,4,sync,2,80,10737418240,3822659102,57,49,0,0,0,7650410496,7650410496,0,0
0.5,4,sync,3,80,10737418240,3827597367,57,49,0,0,0,7650410496,7650410496,0,0
0.5,4,async,1,80,10737418240,3670710227,57,49,0,1,170,7650410496,7650410496,0,0
0.5,4,async,2,80,10737418240,3842832662,57,49,0,8,161,7650410496,7650410496,0,0
0.5,4,async,3,80,10737418240,3612887806,57,49,0,5,165,7650410496,7650410496,0,0
0.5,8,sync,1,80,10737418240,3777366337,57,49,0,0,0,7650410496,7650410496,0,0
0.5,8,sync,2,80,10737418240,3630925811,57,49,0,0,0,7650410496,7650410496,0,0
0.5,8,sync,3,80,10737418240,3701301255,57,49,0,0,0,7650410496,7650410496,0,0
0.5,8,async,1,80,10737418240,3685105345,57,49,0,28,341,7650410496,7650410496,0,0
0.5,8,async,2,80,10737418240,3627923827,57,49,0,30,336,7650410496,7650410496,0,0
0.5,8,async,3,80,10737418240,3645860064,57,49,0,34,333,7650410496,7650410496,0,0
0.75,1,sync,1,80,10737418240,2740315607,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,sync,2,80,10737418240,2975813191,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,sync,3,80,10737418240,2648696597,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,async,1,80,10737418240,2751621916,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,async,2,80,10737418240,2699389541,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,async,3,80,10737418240,2958116501,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,sync,1,80,10737418240,2761298816,41,29,0,0,0,5502926848,5502930944,0,0
0.75,2,sync,2,80,10737418240,2948883146,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,sync,3,80,10737418240,2695802049,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,async,1,80,10737418240,3115506429,41,29,0,2,39,5502926848,5502926848,0,0
0.75,2,async,2,80,10737418240,3104697718,41,29,0,4,37,5502926848,5502926848,0,0
0.75,2,async,3,80,10737418240,2858622880,41,29,0,4,37,5502926848,5502926848,0,0
0.75,4,sync,1,80,10737418240,3887866176,41,29,0,0,0,5502926848,5502926848,0,0
0.75,4,sync,2,80,10737418240,3243792927,41,29,0,0,0,5502926848,5502926848,0,0
0.75,4,sync,3,80,10737418240,2877612048,41,29,0,0,0,5502926848,5502926848,0,0
0.75,4,async,1,80,10737418240,2662666161,41,29,0,3,118,5502926848,5502926848,0,0
0.75,4,async,2,80,10737418240,2666349078,41,29,0,3,118,5502926848,5502926848,0,0
0.75,4,async,3,80,10737418240,2823852711,41,29,0,3,117,5502926848,5502926848,0,0
0.75,8,sync,1,80,10737418240,2685408642,41,29,0,0,0,5502926848,5502926848,0,0
0.75,8,sync,2,80,10737418240,2942971758,41,29,0,0,0,5502926848,5502926848,0,0
0.75,8,sync,3,80,10737418240,2666346848,41,29,0,0,0,5502926848,5502926848,0,0
0.75,8,async,1,80,10737418240,3143695774,41,29,0,14,266,5502926848,5502926848,0,0
0.75,8,async,2,80,10737418240,3150037224,41,29,0,26,230,5502926848,5502926848,0,0
0.75,8,async,3,80,10737418240,2700958760,41,29,0,16,246,5502926848,5502926848,0,0
