ratio,window,threads,handler,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,dedup_resident,dedup_fetching,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.25,0,1,sync,1,80,10737418240,5222165232,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,1,sync,2,80,10737418240,4475129434,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,1,sync,3,80,10737418240,4328709161,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,1,async,1,80,10737418240,4306131775,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,1,async,2,80,10737418240,4279197385,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,1,async,3,80,10737418240,4250248923,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,8,sync,1,80,10737418240,4315742375,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,8,sync,2,80,10737418240,4228308471,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,8,sync,3,80,10737418240,4210260589,69,65,0,0,0,9261023232,9261023232,0,0
0.25,0,8,async,1,80,10737418240,4296641183,69,65,0,39,349,9261023232,9261023232,0,0
0.25,0,8,async,2,80,10737418240,4188303993,69,65,0,32,390,9261023232,9261023232,0,0
0.25,0,8,async,3,80,10737418240,4213112641,69,65,0,34,379,9261023232,9261023232,0,0
0.25,1,1,sync,1,80,10737418240,4194583394,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,1,sync,2,80,10737418240,4059259289,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,1,sync,3,80,10737418240,4092481736,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,1,async,1,80,10737418240,4244928221,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,1,async,2,80,10737418240,4116919085,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,1,async,3,80,10737418240,4069004482,69,65,0,0,0,9261023232,9261023232,0,0
0.25,1,8,sync,1,80,10737418240,4481159497,70,66,0,0,0,9395240960,9395240960,0,0
0.25,1,8,sync,2,80,10737418240,4455534495,70,66,0,0,0,9395240960,9395249152,0,0
0.25,1,8,sync,3,80,10737418240,4527581553,69,65,0,0,0,9261023232,9261027328,0,0
0.25,1,8,async,1,80,10737418240,4482807175,71,67,0,68,125,9529458688,9529458688,0,0
0.25,1,8,async,2,80,10737418240,4414785944,69,65,0,69,125,9261023232,9261023232,0,0
0.25,1,8,async,3,80,10737418240,4308512590,70,66,0,69,133,9395240960,9395240960,0,0
0.25,2,1,sync,1,80,10737418240,4149574112,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,1,sync,2,80,10737418240,4114705427,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,1,sync,3,80,10737418240,4157383237,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,1,async,1,80,10737418240,4153047842,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,1,async,2,80,10737418240,4280460187,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,1,async,3,80,10737418240,4138669164,69,65,0,0,0,9261023232,9261023232,0,0
0.25,2,8,sync,1,80,10737418240,4642091788,77,73,0,0,0,10334765056,10334765056,0,0
