ratio,arm,retention,depth,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,pin_broken,censored,exit_code
0.25,D,n/a,n/a,1,80,10737418240,4247867825,71,67,0,0,9529458688,9529458688,0,0,0
0.25,D,n/a,n/a,2,80,10737418240,4097867343,69,65,0,0,9261023232,9261023232,0,0,0
0.25,D,n/a,n/a,3,80,10737418240,4154430354,71,67,0,0,9529458688,9529458688,0,0,0
0.25,E,none,2,1,80,10737418240,4315381760,55,94,0,43,13153337344,13153337344,0,0,0
0.25,E,none,2,2,80,10737418240,4047147830,54,90,0,40,12616466432,12616466432,0,0,0
0.25,E,none,2,3,80,10737418240,4209032651,52,90,0,42,12616466432,12616466432,0,0,0
0.25,E,pinned,2,1,80,10737418240,4043985244,55,90,0,39,12616466432,12616466432,9,0,0
0.25,E,pinned,2,2,80,10737418240,4268434863,54,91,1,41,12750684160,12750684160,10,0,0
0.25,E,pinned,2,3,80,10737418240,3891726071,52,87,1,39,12213813248,12213813248,6,0,0
0.25,E,none,4,1,80,10737418240,4291544022,40,104,0,68,14495514624,14495514624,0,0,0
0.25,E,none,4,2,80,10737418240,4311394374,42,105,0,67,14629732352,14629732352,0,0,0
0.25,E,none,4,3,80,10737418240,4801664367,45,124,0,83,17179869184,17179869184,0,0,0
0.25,E,pinned,4,1,80,10737418240,4173048524,64,109,41,49,15166603264,15166603264,33,0,0
0.25,E,pinned,4,2,80,10737418240,4155222370,60,101,44,45,14092861440,14092861440,31,0,0
0.25,E,pinned,4,3,80,10737418240,3866658847,60,101,36,45,14092861440,14092861440,23,0,0
0.375,D,n/a,n/a,1,80,10737418240,3682080541,63,57,0,0,8455716864,8455716864,0,0,0
0.375,D,n/a,n/a,2,80,10737418240,3626678444,63,57,0,0,8455716864,8455716864,0,0,0
0.375,D,n/a,n/a,3,80,10737418240,3640802468,63,57,0,0,8455716864,8455716864,0,0,0
0.375,E,none,2,1,80,10737418240,3537870531,45,69,0,30,10066329600,10066329600,0,0,0
0.375,E,none,2,2,80,10737418240,3488739475,45,69,0,30,10066329600,10066329600,0,0,0
0.375,E,none,2,3,80,10737418240,3704106084,44,69,0,31,10066329600,10066329600,0,0,0
0.375,E,pinned,2,1,80,10737418240,3890465314,49,76,0,33,11005853696,11005853696,0,0,0
0.375,E,pinned,2,2,80,10737418240,4063033952,52,84,0,38,12079595520,12079595520,0,0,0
0.375,E,pinned,2,3,80,10737418240,3846758363,50,77,0,33,11140071424,11140071424,0,0,0
