ratio,rep,rc,n_decoded,wall_s,tokens_s,ttft_ms,p99_inter_ms,pager_bytes_fetched,absent_handled,evictions,infeasible,pin_broken,fetching_timeout,protect_current,signal_mode
0.25,1,0,64,62.932,1.017,1319.91,1036.896,126141046784,2499,2495,0,0,0,on,pre
0.25,2,0,64,61.895,1.034,1192.66,1019.101,126141046784,2499,2495,0,0,0,on,pre
0.375,1,0,64,48.795,1.312,1257.37,803.720,97607462912,1993,1983,0,0,0,on,pre
0.375,2,0,64,48.817,1.311,1369.25,804.128,97607462912,1993,1983,0,0,0,on,pre
0.5,1,0,64,40.805,1.568,1347.77,703.128,79631605760,1614,1598,0,0,0,on,pre
0.5,2,0,64,39.831,1.607,1365.37,665.258,79631605760,1614,1598,0,0,0,on,pre
0.625,1,0,64,31.596,2.026,1283.45,591.644,60762341376,1235,1214,0,0,0,on,pre
0.625,2,0,64,32.192,1.988,1334.54,597.252,60762341376,1235,1214,0,0,0,on,pre
0.75,1,0,64,22.898,2.795,1353.53,441.483,41654558720,847,820,0,0,0,on,pre
0.75,2,0,64,23.704,2.700,1364.10,488.391,41654558720,847,820,0,0,0,on,pre
