check,ratio,arm,prefetch,protect,rep,rc,n_decoded,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,stat_fetching_timeout,memory_peak
noreg,0.25,D,off,off,1,0,64,112.362,0.570,216583917568,216584179712,4734,4731,0,0,0,0,622055424
noreg,0.5,D,off,off,1,0,64,69.493,0.921,141053931520,141054062592,3129,3113,0,0,0,0,1159208960
noreg,0.75,D,off,off,1,0,64,38.181,1.676,72409272320,72409374720,1591,1564,0,0,0,0,1683030016
armE_lo,0.25,E,on,off,1,0,64,66.170,0.967,172895035392,172895264768,1705,3404,1702,0,0,0,632209408
armE_lo,0.375,E,on,off,1,0,64,56.055,1.142,140146933760,140195471360,1625,2999,1383,0,0,0,895582208
noreg,0.25,D,off,off,2,0,64,108.424,0.590,216583917568,216584179712,4734,4731,0,0,0,0,622534656
noreg,0.5,D,off,off,2,0,64,72.737,0.880,141053931520,141054062592,3129,3113,0,0,0,0,1160306688
noreg,0.75,D,off,off,2,0,64,39.348,1.627,72409272320,72409374720,1591,1564,0,0,0,0,1683304448
armE_lo,0.25,E,on,off,2,0,64,64.779,0.988,173425221632,173425459200,1709,3418,1712,0,0,0,632549376
armE_lo,0.375,E,on,off,2,0,64,52.021,1.230,140442488832,140491026432,1625,3008,1392,0,0,0,895668224
noreg,0.25,D,off,off,3,0,64,117.408,0.545,216583917568,216584179712,4734,4731,0,0,0,0,621600768
noreg,0.5,D,off,off,3,0,64,91.062,0.703,141053931520,141054062592,3129,3113,0,0,0,0,1160048640
noreg,0.75,D,off,off,3,0,64,49.439,1.295,72409272320,72409374720,1591,1564,0,0,0,0,1683832832
armE_lo,0.25,E,on,off,3,0,64,77.430,0.827,172887150592,172887371776,1705,3402,1700,0,0,0,632184832
armE_lo,0.375,E,on,off,3,0,64,66.320,0.965,140147625984,140195110912,1627,3000,1383,0,0,0,895680512
