threads,block_size,fdmode,iomode,rep,wall_s,agg_MiBps,total_bytes,rc
1,4194304,shared-fd,direct,1,0.495074,2068.38,1073741824,0
1,4194304,shared-fd,direct,2,0.488953,2094.27,1073741824,0
1,4194304,shared-fd,direct,3,0.458676,2232.51,1073741824,0
1,4194304,shared-fd,direct,4,0.503067,2035.52,1073741824,0
1,4194304,shared-fd,direct,5,0.476053,2151.02,1073741824,0
1,4194304,shared-fd,buffered,1,0.431665,2372.21,1073741824,0
1,4194304,shared-fd,buffered,2,0.097689,10482.23,1073741824,0
1,4194304,shared-fd,buffered,3,0.096187,10645.94,1073741824,0
1,4194304,shared-fd,buffered,4,0.090422,11324.72,1073741824,0
1,4194304,shared-fd,buffered,5,0.090926,11261.94,1073741824,0
1,4194304,fd-per-thread,direct,1,0.418580,2446.37,1073741824,0
1,4194304,fd-per-thread,direct,2,0.391659,2614.52,1073741824,0
1,4194304,fd-per-thread,direct,3,0.394531,2595.49,1073741824,0
1,4194304,fd-per-thread,direct,4,0.408291,2508.02,1073741824,0
1,4194304,fd-per-thread,direct,5,0.389308,2630.31,1073741824,0
1,4194304,fd-per-thread,buffered,1,0.155820,6571.68,1073741824,0
1,4194304,fd-per-thread,buffered,2,0.081137,12620.65,1073741824,0
1,4194304,fd-per-thread,buffered,3,0.078675,13015.55,1073741824,0
1,4194304,fd-per-thread,buffered,4,0.078696,13012.15,1073741824,0
1,4194304,fd-per-thread,buffered,5,0.081258,12601.86,1073741824,0
1,134217728,shared-fd,direct,1,0.459359,2229.19,1073741824,0
1,134217728,shared-fd,direct,2,0.304838,3359.17,1073741824,0
1,134217728,shared-fd,direct,3,0.323444,3165.93,1073741824,0
1,134217728,shared-fd,direct,4,0.355438,2880.95,1073741824,0
1,134217728,shared-fd,direct,5,0.309851,3304.81,1073741824,0
1,134217728,shared-fd,buffered,1,0.220153,4651.31,1073741824,0
1,134217728,shared-fd,buffered,2,0.158688,6452.90,1073741824,0
1,134217728,shared-fd,buffered,3,0.145438,7040.79,1073741824,0
1,134217728,shared-fd,buffered,4,0.140562,7285.06,1073741824,0
1,134217728,shared-fd,buffered,5,0.142332,7194.43,1073741824,0
1,134217728,fd-per-thread,direct,1,0.312269,3279.22,1073741824,0
1,134217728,fd-per-thread,direct,2,0.300318,3409.72,1073741824,0
1,134217728,fd-per-thread,direct,3,0.328964,3112.81,1073741824,0
1,134217728,fd-per-thread,direct,4,0.316031,3240.19,1073741824,0
1,134217728,fd-per-thread,direct,5,0.304239,3365.78,1073741824,0
1,134217728,fd-per-thread,buffered,1,0.165043,6204.44,1073741824,0
1,134217728,fd-per-thread,buffered,2,0.146221,7003.11,1073741824,0
1,134217728,fd-per-thread,buffered,3,0.150427,6807.29,1073741824,0
1,134217728,fd-per-thread,buffered,4,0.140453,7290.72,1073741824,0
1,134217728,fd-per-thread,buffered,5,0.154486,6628.44,1073741824,0
2,4194304,shared-fd,direct,1,0.297429,3442.84,1073741824,0
2,4194304,shared-fd,direct,2,0.303265,3376.58,1073741824,0
2,4194304,shared-fd,direct,3,0.301444,3396.98,1073741824,0
2,4194304,shared-fd,direct,4,0.291282,3515.50,1073741824,0
2,4194304,shared-fd,direct,5,0.326543,3135.88,1073741824,0
2,4194304,shared-fd,buffered,1,0.060881,16819.72,1073741824,0
2,4194304,shared-fd,buffered,2,0.049170,20825.78,1073741824,0
2,4194304,shared-fd,buffered,3,0.043876,23338.50,1073741824,0
2,4194304,shared-fd,buffered,4,0.044470,23026.60,1073741824,0
2,4194304,shared-fd,buffered,5,0.047300,21649.08,1073741824,0
2,4194304,fd-per-thread,direct,1,0.320808,3191.94,1073741824,0
2,4194304,fd-per-thread,direct,2,0.314919,3251.63,1073741824,0
2,4194304,fd-per-thread,direct,3,0.250021,4095.65,1073741824,0
2,4194304,fd-per-thread,direct,4,0.303380,3375.31,1073741824,0
2,4194304,fd-per-thread,direct,5,0.317010,3230.18,1073741824,0
2,4194304,fd-per-thread,buffered,1,0.051782,19775.16,1073741824,0
2,4194304,fd-per-thread,buffered,2,0.043918,23316.13,1073741824,0
2,4194304,fd-per-thread,buffered,3,0.046916,21826.39,1073741824,0
2,4194304,fd-per-thread,buffered,4,0.046085,22219.82,1073741824,0
2,4194304,fd-per-thread,buffered,5,0.050726,20186.96,1073741824,0
2,134217728,shared-fd,direct,1,0.276415,3704.57,1073741824,0
2,134217728,shared-fd,direct,2,0.265793,3852.62,1073741824,0
2,134217728,shared-fd,direct,3,0.284146,3603.78,1073741824,0
2,134217728,shared-fd,direct,4,0.249627,4102.12,1073741824,0
2,134217728,shared-fd,direct,5,0.246396,4155.90,1073741824,0
2,134217728,shared-fd,buffered,1,0.105639,9693.34,1073741824,0
2,134217728,shared-fd,buffered,2,0.109719,9332.96,1073741824,0
2,134217728,shared-fd,buffered,3,0.102428,9997.29,1073741824,0
2,134217728,shared-fd,buffered,4,0.103355,9907.56,1073741824,0
2,134217728,shared-fd,buffered,5,0.105456,9710.17,1073741824,0
2,134217728,fd-per-thread,direct,1,0.254038,4030.89,1073741824,0
2,134217728,fd-per-thread,direct,2,0.260750,3927.14,1073741824,0
2,134217728,fd-per-thread,direct,3,0.246462,4154.79,1073741824,0
2,134217728,fd-per-thread,direct,4,0.252563,4054.44,1073741824,0
2,134217728,fd-per-thread,direct,5,0.251011,4079.50,1073741824,0
2,134217728,fd-per-thread,buffered,1,0.102696,9971.22,1073741824,0
2,134217728,fd-per-thread,buffered,2,0.105339,9720.97,1073741824,0
2,134217728,fd-per-thread,buffered,3,0.104395,9808.93,1073741824,0
2,134217728,fd-per-thread,buffered,4,0.107025,9567.83,1073741824,0
2,134217728,fd-per-thread,buffered,5,0.111316,9199.04,1073741824,0
4,4194304,shared-fd,direct,1,0.241576,4238.83,1073741824,0
4,4194304,shared-fd,direct,2,0.242148,4228.82,1073741824,0
4,4194304,shared-fd,direct,3,0.242139,4228.98,1073741824,0
4,4194304,shared-fd,direct,4,0.239797,4270.27,1073741824,0
4,4194304,shared-fd,direct,5,0.237553,4310.62,1073741824,0
4,4194304,shared-fd,buffered,1,0.048725,21016.09,1073741824,0
4,4194304,shared-fd,buffered,2,0.051646,19827.30,1073741824,0
4,4194304,shared-fd,buffered,3,0.047110,21736.53,1073741824,0
4,4194304,shared-fd,buffered,4,0.050374,20327.94,1073741824,0
4,4194304,shared-fd,buffered,5,0.050240,20382.15,1073741824,0
4,4194304,fd-per-thread,direct,1,0.247751,4133.18,1073741824,0
4,4194304,fd-per-thread,direct,2,0.253044,4046.72,1073741824,0
4,4194304,fd-per-thread,direct,3,0.260148,3936.23,1073741824,0
4,4194304,fd-per-thread,direct,4,0.246802,4149.07,1073741824,0
4,4194304,fd-per-thread,direct,5,0.244250,4192.42,1073741824,0
4,4194304,fd-per-thread,buffered,1,0.051272,19971.95,1073741824,0
4,4194304,fd-per-thread,buffered,2,0.052221,19608.82,1073741824,0
4,4194304,fd-per-thread,buffered,3,0.051436,19908.19,1073741824,0
4,4194304,fd-per-thread,buffered,4,0.054271,18868.24,1073741824,0
4,4194304,fd-per-thread,buffered,5,0.048931,20927.24,1073741824,0
4,134217728,shared-fd,direct,1,0.267230,3831.90,1073741824,0
4,134217728,shared-fd,direct,2,0.259208,3950.50,1073741824,0
4,134217728,shared-fd,direct,3,0.268961,3807.24,1073741824,0
4,134217728,shared-fd,direct,4,0.266960,3835.78,1073741824,0
4,134217728,shared-fd,direct,5,0.252641,4053.19,1073741824,0
4,134217728,shared-fd,buffered,1,0.086755,11803.42,1073741824,0
4,134217728,shared-fd,buffered,2,0.088243,11604.36,1073741824,0
4,134217728,shared-fd,buffered,3,0.091969,11134.16,1073741824,0
4,134217728,shared-fd,buffered,4,0.090323,11337.13,1073741824,0
4,134217728,shared-fd,buffered,5,0.095220,10754.08,1073741824,0
