cell,threads,window,compute,chunk_size,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,pager_bytes_fetched,rc
1,1,0,0,134217728,1,80,10737418240,5932032592,50,42,0,6710886400,0
1,1,0,0,134217728,2,80,10737418240,3326808033,50,42,0,6710886400,0
1,1,0,0,134217728,3,80,10737418240,3257679168,50,42,0,6710886400,0
1,1,0,0,134217728,4,80,10737418240,3340727281,50,42,0,6710886400,0
1,1,0,0,134217728,5,80,10737418240,3199938812,50,42,0,6710886400,0
2,1,0,400000,134217728,1,80,10737418240,10038516943,50,42,0,6710886400,0
2,1,0,400000,134217728,2,80,10737418240,10052572474,50,42,0,6710886400,0
2,1,0,400000,134217728,3,80,10737418240,10222322604,50,42,0,6710886400,0
2,1,0,400000,134217728,4,80,10737418240,9996303733,50,42,0,6710886400,0
2,1,0,400000,134217728,5,80,10737418240,9889839662,50,42,0,6710886400,0
3,8,0,0,134217728,1,80,10737418240,3354323713,54,46,0,7247757312,0
3,8,0,0,134217728,2,80,10737418240,3230559218,52,44,0,6979321856,0
3,8,0,0,134217728,3,80,10737418240,4534433247,52,44,0,6979321856,0
3,8,0,0,134217728,4,80,10737418240,3359503570,51,43,0,6845104128,0
3,8,0,0,134217728,5,80,10737418240,3435785167,52,44,0,6979321856,0
4,8,1,0,134217728,1,80,10737418240,3350842798,55,47,0,7381975040,0
4,8,1,0,134217728,2,80,10737418240,3285558832,55,47,0,7381975040,0
4,8,1,0,134217728,3,80,10737418240,3396220970,55,47,0,7381975040,0
4,8,1,0,134217728,4,80,10737418240,3436888323,55,47,0,7381975040,0
4,8,1,0,134217728,5,80,10737418240,3247932883,55,47,0,7381975040,0
5,8,1,400000,134217728,1,80,10737418240,4173878532,55,47,0,7381975040,0
5,8,1,400000,134217728,2,80,10737418240,4308565544,55,47,0,7381975040,0
5,8,1,400000,134217728,3,80,10737418240,4402760726,55,47,0,7381975040,0
5,8,1,400000,134217728,4,80,10737418240,4377490573,55,47,0,7381975040,0
5,8,1,400000,134217728,5,80,10737418240,4334777003,55,47,0,7381975040,0
6,8,1,400000,8388608,1,1280,10737418240,4722682464,768,640,0,6442450944,0
6,8,1,400000,8388608,2,1280,10737418240,4722539122,768,640,0,6442450944,0
6,8,1,400000,8388608,3,1280,10737418240,5108475926,768,640,0,6442450944,0
6,8,1,400000,8388608,4,1280,10737418240,4613819931,768,640,0,6442450944,0
6,8,1,400000,8388608,5,1280,10737418240,4977873836,768,640,0,6442450944,0
