rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,pager_bytes_fetched,io_read_bytes_delta,rc
1,80,10737418240,6301582911,78,70,0,10468982784,10468982784,0
2,80,10737418240,5973939449,80,72,0,10737418240,10737418240,0
3,80,10737418240,5577418154,78,70,0,10468982784,10468982784,0
4,80,10737418240,5671848293,79,71,0,10603200512,10603200512,0
5,80,10737418240,5857351660,79,71,0,10603200512,10603200512,0
6,80,10737418240,6659027492,83,75,0,11140071424,11140071424,0
7,80,10737418240,5750010245,79,71,0,10603200512,10603200512,0
8,80,10737418240,5626478361,77,69,0,10334765056,10334765056,0
9,80,10737418240,5210493697,74,66,0,9932111872,9932111872,0
10,80,10737418240,5556481166,76,68,0,10200547328,10200547328,0
