ratio,arm,policy,prefetch,rep,budget_bytes,n_prompt,n_decoded,layer_transitions,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_resident,dedup_fetching,resident_end,memory_peak,handler_p99_ns,vmhwm_kb,rc
0.25,A,mmap,off,1,526233600,16,64,2304,0.730,1289.75,1537.770,78.428,0.816,109960409088,,,,,,,,,,,,765916,0
0.25,C,lru,off,1,526233600,16,64,2304,0.192,1401.37,1545.608,73.625,0.869,144411901952,144412164096,2817,2813,0,0,0,1,489,479617024,614346752,134217727,1105500,0
0.25,D,layer_order_declared,off,1,526233600,16,64,2304,0.185,1748.13,1608.651,98.638,0.649,216583917568,216584179712,4734,4731,0,0,0,3,934,479608832,603254784,67108863,1096284,0
0.25,E,layer_order_declared,on,1,526233600,16,64,2304,0.191,1135.42,1433.401,69.877,0.916,173483606016,173483855872,1709,3422,1716,0,0,306,890,479608832,613945344,134217727,1105556,0
0.25,A,mmap,off,2,526233600,16,64,2304,0.629,1492.54,1953.627,87.271,0.733,123855941632,,,,,,,,,,,,766644,0
0.25,C,lru,off,2,526233600,16,64,2304,0.191,1388.33,1202.114,66.408,0.964,144411901952,144412164096,2817,2813,0,0,0,2,476,479617024,614498304,134217727,1105516,0
0.25,D,layer_order_declared,off,2,526233600,16,64,2304,0.200,1739.49,1959.892,98.045,0.653,216583917568,216584179712,4734,4731,0,0,0,3,928,479608832,603459584,67108863,1096364,0
0.25,E,layer_order_declared,on,2,526233600,16,64,2304,0.190,1194.81,1018.874,62.631,1.022,173253177344,173253423104,1707,3416,1712,0,0,297,833,479608832,613908480,134217727,1105396,0
0.25,A,mmap,off,3,526233600,16,64,2304,0.655,1207.57,1673.981,85.289,0.750,124432543744,,,,,,,,,,,,769496,0
0.25,C,lru,off,3,526233600,16,64,2304,0.193,1355.98,1072.619,66.378,0.964,144411901952,144412164096,2817,2813,0,0,0,1,484,479617024,614346752,134217727,1105480,0
