ratio,arm,detail,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,censored,exit_code
0.25,A,normal,n/a,1,80,10737418240,5835868918,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,normal,n/a,2,80,10737418240,150525513,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,normal,n/a,3,80,10737418240,35746802,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,random,n/a,1,80,10737418240,35597599,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,random,n/a,2,80,10737418240,36135023,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,random,n/a,3,80,10737418240,36881817,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,sequential,n/a,1,80,10737418240,149938039,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,sequential,n/a,2,80,10737418240,34994494,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,A,sequential,n/a,3,80,10737418240,35618996,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.25,B,normal,n/a,1,80,10737418240,2827492033,n/a,n/a,n/a,n/a,n/a,8053063680,n/a,n/a,n/a,0,0
0.25,B,normal,n/a,2,80,10737418240,2877796041,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.25,B,normal,n/a,3,80,10737418240,2877165895,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.25,C,lru,0,1,80,10737418240,6377441401,80,76,0,0,10737418240,10737418240,80,191,0,0,0
0.25,C,lru,0,2,80,10737418240,5205524168,80,76,0,0,10737418240,10737418240,79,150,0,0,0
0.25,C,lru,0,3,80,10737418240,5482865572,80,76,0,0,10737418240,10737418240,80,194,0,0,0
0.25,D,layer_order,0,1,80,10737418240,4571181409,69,65,0,0,9261023232,9261023232,69,145,0,0,0
0.25,D,layer_order,0,2,80,10737418240,4370238547,69,65,0,0,9261023232,9261023232,68,119,0,0,0
0.25,D,layer_order,0,3,80,10737418240,4164667973,69,65,0,0,9261023232,9261023232,69,137,0,0,0
0.25,E,layer_order,0,1,80,10737418240,4388436715,54,88,1,38,12348030976,12348030976,50,151,6,0,0
0.25,E,layer_order,0,2,80,10737418240,4690587075,64,97,1,37,13555990528,13555990528,46,122,12,0,0
0.25,E,layer_order,0,3,80,10737418240,4508424112,54,89,0,39,12482248704,12482248704,52,137,10,0,0
0.25,C,lru,400000,1,80,10737418240,5938392861,80,76,0,0,10737418240,10737418240,79,41,0,0,0
0.25,C,lru,400000,2,80,10737418240,6003188519,80,76,0,0,10737418240,10737418240,80,63,0,0,0
0.25,C,lru,400000,3,80,10737418240,5934059454,80,76,0,0,10737418240,10737418240,80,49,0,0,0
0.25,D,layer_order,400000,1,80,10737418240,6545092573,102,98,0,0,13690208256,13690208256,70,165,0,0,0
0.25,D,layer_order,400000,2,80,10737418240,6758707902,103,99,0,0,13824425984,13824425984,75,141,0,0,0
0.25,D,layer_order,400000,3,80,10737418240,6869175551,106,102,0,0,14227079168,14227079168,70,163,0,0,0
0.25,E,layer_order,400000,1,80,10737418240,5817286117,67,108,0,45,15032385536,15032385536,41,162,9,0,0
0.25,E,layer_order,400000,2,80,10737418240,6367121376,75,119,1,48,16508780544,16508780544,43,172,7,0,0
0.25,E,layer_order,400000,3,80,10737418240,6539868281,72,116,0,48,16106127360,16106127360,33,204,9,0,0
0.375,A,normal,n/a,1,80,10737418240,2297801969,n/a,n/a,n/a,n/a,n/a,10141827072,n/a,n/a,n/a,0,0
0.375,A,normal,n/a,1,80,10737418240,363594112,n/a,n/a,n/a,n/a,n/a,283115520,n/a,n/a,n/a,0,0
0.375,A,normal,n/a,2,80,10737418240,38152359,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,normal,n/a,3,80,10737418240,38298103,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,random,n/a,1,80,10737418240,149296900,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,random,n/a,2,80,10737418240,36930839,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,random,n/a,3,80,10737418240,37627412,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,sequential,n/a,1,80,10737418240,75868873,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,sequential,n/a,2,80,10737418240,36868071,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,A,sequential,n/a,3,80,10737418240,36849424,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.375,B,normal,n/a,1,80,10737418240,1650714758,n/a,n/a,n/a,n/a,n/a,8053063680,n/a,n/a,n/a,0,0
0.375,B,normal,n/a,2,80,10737418240,2282957248,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.375,B,normal,n/a,3,80,10737418240,2341830485,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.375,C,lru,0,1,80,10737418240,4949274615,80,74,0,0,10737418240,10737418240,80,153,0,0,0
0.375,C,lru,0,2,80,10737418240,4960595695,80,74,0,0,10737418240,10737418240,80,149,0,0,0
0.375,C,lru,0,3,80,10737418240,4820120155,80,74,0,0,10737418240,10737418240,80,153,0,0,0
0.375,D,layer_order,0,1,80,10737418240,3771073600,63,57,0,0,8455716864,8455716864,62,138,0,0,0
0.375,D,layer_order,0,2,80,10737418240,4193719072,70,64,0,0,9395240960,9395240960,66,170,0,0,0
0.375,D,layer_order,0,3,80,10737418240,3848571771,63,57,0,0,8455716864,8455716864,63,121,0,0,0
0.375,E,layer_order,0,1,80,10737418240,4182500125,50,77,0,33,11140071424,11140071424,54,90,0,0,0
0.375,E,layer_order,0,2,80,10737418240,3951884423,49,77,0,34,11140071424,11140071424,51,140,0,0,0
0.375,E,layer_order,0,3,80,10737418240,4096059620,50,77,0,33,11140071424,11140071424,53,108,0,0,0
0.375,C,lru,400000,1,80,10737418240,5803527321,80,74,0,0,10737418240,10737418240,80,61,0,0,0
0.375,C,lru,400000,2,80,10737418240,6073445813,80,74,0,0,10737418240,10737418240,80,42,0,0,0
0.375,C,lru,400000,3,80,10737418240,5828171630,80,74,0,0,10737418240,10737418240,80,53,0,0,0
0.375,D,layer_order,400000,1,80,10737418240,6032016541,86,80,0,0,11542724608,11542724608,66,124,0,0,0
0.375,D,layer_order,400000,2,80,10737418240,6113434288,94,88,0,0,12616466432,12616466432,66,138,0,0,0
0.375,D,layer_order,400000,3,80,10737418240,5558661658,82,76,0,0,11005853696,11005853696,63,120,0,0,0
0.375,E,layer_order,400000,1,80,10737418240,5310188333,61,92,0,37,13153337344,13153337344,49,112,0,0,0
