chunk_size,ratio,arm,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
4194304,0.25,A,1,2560,10737418240,3278718162,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.25,A,2,2560,10737418240,3039769998,n/a,n/a,n/a,n/a,n/a,10737360896,n/a,n/a,n/a,0
4194304,0.25,A,3,2560,10737418240,2938682269,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.25,B,1,2560,10737418240,3136979235,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.25,B,2,2560,10737418240,2922390389,n/a,n/a,n/a,n/a,n/a,10712227840,n/a,n/a,n/a,0
4194304,0.25,B,3,2560,10737418240,2855730173,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.25,C,1,2560,10737418240,9847676761,2560,2432,0,0,10737418240,10737418240,2550,4258,0,0
4194304,0.25,C,2,2560,10737418240,9926492354,2560,2432,0,0,10737418240,10737418240,2552,4808,0,0
4194304,0.25,C,3,2560,10737418240,9791414178,2560,2432,0,0,10737418240,10737418240,2545,4795,0,0
4194304,0.25,D,1,2560,10737418240,11308399249,2874,2746,0,0,12054429696,12054429696,2138,6195,0,0
4194304,0.25,D,2,2560,10737418240,11226815821,2888,2760,0,0,12113149952,12113149952,2152,6298,0,0
4194304,0.25,E,1,2560,10737418240,8112521572,1563,2533,0,1098,11161042944,11161042944,1535,3736,0,0
4194304,0.25,E,2,2560,10737418240,7717119604,1471,2380,0,1037,10519314432,10519314432,1561,3523,0,0
4194304,0.25,E,3,2560,10737418240,7815734227,1538,2558,0,1148,11265900544,11265900544,1552,3938,0,0
4194304,0.5,A,1,2560,10737418240,3010620907,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.5,A,2,2560,10737418240,3175865111,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.5,A,3,2560,10737418240,3157118449,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.5,B,1,2560,10737418240,2910571560,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.5,B,2,2560,10737418240,2467959651,n/a,n/a,n/a,n/a,n/a,10712203264,n/a,n/a,n/a,0
4194304,0.5,B,3,2560,10737418240,2535273304,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.5,C,1,2560,10737418240,9336968060,2560,2304,0,0,10737418240,10737418240,2555,3887,0,0
4194304,0.5,C,2,2560,10737418240,8839794103,2560,2304,0,0,10737418240,10737418240,2556,3725,0,0
4194304,0.5,C,3,2560,10737418240,8877731818,2560,2304,0,0,10737418240,10737418240,2559,3657,0,0
4194304,0.5,D,1,2560,10737418240,7930354017,2192,1936,0,0,9193914368,9193914368,1787,4071,0,0
4194304,0.5,D,2,2560,10737418240,7971656048,2163,1907,0,0,9072279552,9072279552,1759,4492,0,0
4194304,0.5,D,3,2560,10737418240,7943088845,2185,1929,0,0,9164554240,9164554240,1771,4435,0,0
4194304,0.5,E,1,2560,10737418240,5543070034,1062,1518,0,712,7440695296,7440695296,1315,2111,0,0
4194304,0.5,E,2,2560,10737418240,5517894550,1037,1497,0,716,7352614912,7352614912,1334,1985,0,0
4194304,0.5,E,3,2560,10737418240,5807376763,1123,1647,0,780,7981760512,7981760512,1423,2221,0,0
4194304,0.75,A,1,2560,10737418240,2717995559,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.75,A,2,2560,10737418240,2852390160,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
4194304,0.75,A,3,2560,10737418240,2992497277,n/a,n/a,n/a,n/a,n/a,10737192960,n/a,n/a,n/a,0
4194304,0.75,B,1,2560,10737418240,2426472828,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.75,B,2,2560,10737418240,2293175017,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.75,B,3,2560,10737418240,2452659050,n/a,n/a,n/a,n/a,n/a,10712252416,n/a,n/a,n/a,0
4194304,0.75,C,1,2560,10737418240,8871865834,2560,2176,0,0,10737418240,10737418240,2558,3487,0,0
4194304,0.75,C,2,2560,10737418240,9005046323,2560,2176,0,0,10737418240,10737418240,2552,4653,0,0
4194304,0.75,C,3,2560,10737418240,9338477442,2560,2176,0,0,10737418240,10737418240,2557,3526,0,0
4194304,0.75,D,1,2560,10737418240,5423440095,1372,988,0,0,5754585088,5754585088,1199,2466,0,0
4194304,0.75,D,2,2560,10737418240,5345884419,1387,1003,0,0,5817499648,5817499648,1219,1983,0,0
4194304,0.75,D,3,2560,10737418240,5026718610,1371,987,0,0,5750390784,5750390784,1202,1994,0,0
4194304,0.75,E,1,2560,10737418240,3802596656,798,763,0,349,4810866688,4810866688,891,1386,0,0
4194304,0.75,E,2,2560,10737418240,3928003584,808,771,0,347,4844421120,4844421120,901,1377,0,0
4194304,0.75,E,3,2560,10737418240,4557069964,780,753,0,357,4768923648,4768923648,908,1365,0,0
8388608,0.25,A,1,1280,10737418240,2836679746,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.25,A,2,1280,10737418240,2401146610,n/a,n/a,n/a,n/a,n/a,10737389568,n/a,n/a,n/a,0
8388608,0.25,A,3,1280,10737418240,2551490230,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.25,B,1,1280,10737418240,2429029411,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.25,B,2,1280,10737418240,2356362623,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.25,B,3,1280,10737418240,2226003358,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.25,C,1,1280,10737418240,8045735688,1280,1216,0,0,10737418240,10737438720,1280,2317,0,0
8388608,0.25,C,2,1280,10737418240,8260285211,1280,1216,0,0,10737418240,10737418240,1278,2226,0,0
8388608,0.25,C,3,1280,10737418240,8167248327,1280,1216,0,0,10737418240,10737418240,1274,2209,0,0
