chunk_size,ratio,arm,detail,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.25,A,normal,n/a,1,1280,10737418240,6121413133,n/a,n/a,n/a,n/a,n/a,10850881536,n/a,n/a,n/a,0
8388608,0.25,A,normal,n/a,2,1280,10737418240,3930965548,n/a,n/a,n/a,n/a,n/a,10821021696,n/a,n/a,n/a,0
8388608,0.25,A,normal,n/a,3,1280,10737418240,3538153036,n/a,n/a,n/a,n/a,n/a,10743746560,n/a,n/a,n/a,0
8388608,0.25,A,random,n/a,3,1280,10737418240,204555203888,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.25,A,sequential,n/a,1,1280,10737418240,4404063004,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.25,A,sequential,n/a,2,1280,10737418240,3978734598,n/a,n/a,n/a,n/a,n/a,10737197056,n/a,n/a,n/a,0
8388608,0.25,A,sequential,n/a,3,1280,10737418240,3830742714,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.25,B,normal,n/a,1,1280,10737418240,3722112346,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.25,B,normal,n/a,2,1280,10737418240,3811845089,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.25,B,normal,n/a,3,1280,10737418240,3931011628,n/a,n/a,n/a,n/a,n/a,10695450624,n/a,n/a,n/a,0
8388608,0.25,C,lru,0,1,1280,10737418240,9664690123,1280,1216,0,0,10737418240,10737422336,930,6700,0,0
8388608,0.25,C,lru,0,2,1280,10737418240,8301307561,1280,1216,0,0,10737418240,10737418240,932,6773,0,0
8388608,0.25,C,lru,0,3,1280,10737418240,7969679497,1280,1216,0,0,10737418240,10737418240,996,6664,0,0
8388608,0.25,D,layer_order,0,1,1280,10737418240,7484146516,1114,1050,0,0,9344909312,9344909312,955,5562,0,0
8388608,0.25,D,layer_order,0,2,1280,10737418240,7435309535,1095,1031,0,0,9185525760,9185525760,918,5652,0,0
8388608,0.25,D,layer_order,0,3,1280,10737418240,7100634031,1096,1032,0,0,9193914368,9193914368,1021,5574,0,0
8388608,0.25,E,layer_order,0,1,1280,10737418240,6292222519,713,1209,0,560,10678697984,10678697984,701,3239,0,0
8388608,0.25,E,layer_order,0,2,1280,10737418240,6220869950,695,1217,0,586,10745806848,10745806848,722,3055,0,0
8388608,0.25,E,layer_order,0,3,1280,10737418240,5866422000,695,1177,0,546,10410262528,10410262528,747,3155,0,0
8388608,0.25,C,lru,400000,1,1280,10737418240,8337907215,1280,1216,0,0,10737418240,10737418240,1278,2044,0,0
8388608,0.25,C,lru,400000,2,1280,10737418240,9187255905,1280,1216,0,0,10737418240,10737418240,1274,2504,0,0
8388608,0.25,C,lru,400000,3,1280,10737418240,8752624687,1280,1216,0,0,10737418240,10737418240,1275,2439,0,0
8388608,0.25,D,layer_order,400000,1,1280,10737418240,10321937357,1491,1427,0,0,12507414528,12507414528,983,3439,0,0
8388608,0.25,D,layer_order,400000,2,1280,10737418240,10063952288,1449,1385,0,0,12155092992,12155092992,995,3340,0,0
8388608,0.25,D,layer_order,400000,3,1280,10737418240,10215598732,1464,1400,0,0,12280922112,12280922112,992,3616,0,0
8388608,0.25,E,layer_order,400000,1,1280,10737418240,7523386537,772,1262,0,554,11123294208,11123294208,750,2185,0,0
8388608,0.25,E,layer_order,400000,2,1280,10737418240,7267487859,769,1251,0,546,11031019520,11031019520,793,2194,0,0
8388608,0.25,E,layer_order,400000,3,1280,10737418240,7441122034,776,1262,0,550,11123294208,11123294208,794,2035,0,0
8388608,0.375,A,normal,n/a,1,1280,10737418240,4489485565,n/a,n/a,n/a,n/a,n/a,10749906944,n/a,n/a,n/a,0
8388608,0.375,A,normal,n/a,2,1280,10737418240,3150143077,n/a,n/a,n/a,n/a,n/a,10743656448,n/a,n/a,n/a,0
8388608,0.375,A,normal,n/a,3,1280,10737418240,3492186561,n/a,n/a,n/a,n/a,n/a,10762620928,n/a,n/a,n/a,0
8388608,0.375,A,sequential,n/a,1,1280,10737418240,3640840234,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.375,A,sequential,n/a,2,1280,10737418240,3415400602,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.375,A,sequential,n/a,3,1280,10737418240,3077991742,n/a,n/a,n/a,n/a,n/a,10737389568,n/a,n/a,n/a,0
8388608,0.375,B,normal,n/a,1,1280,10737418240,3214970166,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.375,B,normal,n/a,2,1280,10737418240,3001727983,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.375,B,normal,n/a,3,1280,10737418240,2852821208,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.375,C,lru,0,1,1280,10737418240,9035293669,1280,1184,0,0,10737418240,10737479680,1060,6365,0,0
8388608,0.375,C,lru,0,2,1280,10737418240,8437191190,1280,1184,0,0,10737418240,10737418240,1008,6501,0,0
8388608,0.375,C,lru,0,3,1280,10737418240,7690476937,1280,1184,0,0,10737418240,10737418240,1037,6496,0,0
8388608,0.375,D,layer_order,0,1,1280,10737418240,6326112600,993,897,0,0,8329887744,8329887744,771,5213,0,0
8388608,0.375,D,layer_order,0,2,1280,10737418240,6455468498,998,902,0,0,8371830784,8371830784,871,5040,0,0
8388608,0.375,D,layer_order,0,3,1280,10737418240,5238528468,994,898,0,0,8338276352,8338276352,948,4129,0,0
8388608,0.375,E,layer_order,0,1,1280,10737418240,4603518052,589,947,0,454,8749318144,8749318144,745,2685,0,0
8388608,0.375,E,layer_order,0,2,1280,10737418240,4698778578,614,958,0,440,8841592832,8841592832,720,2597,0,0
8388608,0.375,E,layer_order,0,3,1280,10737418240,4798979193,628,974,0,442,8975810560,8975810560,714,2574,0,0
8388608,0.375,C,lru,400000,1,1280,10737418240,7813121180,1280,1184,0,0,10737418240,10737418240,1280,2218,0,0
8388608,0.375,C,lru,400000,2,1280,10737418240,7728527707,1280,1184,0,0,10737418240,10737418240,1279,2110,0,0
8388608,0.375,C,lru,400000,3,1280,10737418240,7246622793,1280,1184,0,0,10737418240,10737418240,1278,1951,0,0
8388608,0.375,D,layer_order,400000,1,1280,10737418240,6820440077,1273,1177,0,0,10678697984,10678697984,989,2156,0,0
8388608,0.375,D,layer_order,400000,2,1280,10737418240,6624032399,1238,1142,0,0,10385096704,10385096704,980,2141,0,0
8388608,0.375,D,layer_order,400000,3,1280,10737418240,8527273201,1327,1231,0,0,11131682816,11131682816,953,3039,0,0
8388608,0.375,E,layer_order,400000,1,1280,10737418240,5699268786,606,952,0,442,8791261184,8791261184,728,1466,0,0
8388608,0.375,E,layer_order,400000,2,1280,10737418240,5837488283,590,948,0,454,8757706752,8757706752,732,1735,0,0
8388608,0.375,E,layer_order,400000,3,1280,10737418240,5499018200,616,955,0,435,8816427008,8816427008,746,1429,0,0
8388608,0.5,A,normal,n/a,1,1280,10737418240,3836256710,n/a,n/a,n/a,n/a,n/a,10743664640,n/a,n/a,n/a,0
8388608,0.5,A,normal,n/a,2,1280,10737418240,3540017623,n/a,n/a,n/a,n/a,n/a,10762620928,n/a,n/a,n/a,0
8388608,0.5,A,normal,n/a,3,1280,10737418240,3883988705,n/a,n/a,n/a,n/a,n/a,10743746560,n/a,n/a,n/a,0
8388608,0.5,A,sequential,n/a,1,1280,10737418240,4350141106,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,A,sequential,n/a,2,1280,10737418240,3881015178,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,A,sequential,n/a,3,1280,10737418240,4239496057,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,B,normal,n/a,1,1280,10737418240,3534624682,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.5,B,normal,n/a,2,1280,10737418240,3121499124,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.5,B,normal,n/a,3,1280,10737418240,3011686483,n/a,n/a,n/a,n/a,n/a,10695467008,n/a,n/a,n/a,0
8388608,0.5,C,lru,0,1,1280,10737418240,6561812980,1280,1152,0,0,10737418240,10737418240,1193,5602,0,0
8388608,0.5,C,lru,0,2,1280,10737418240,6026360697,1280,1152,0,0,10737418240,10737418240,1194,5790,0,0
8388608,0.5,C,lru,0,3,1280,10737418240,6397110790,1280,1152,0,0,10737418240,10737418240,1185,5530,0,0
8388608,0.5,D,layer_order,0,1,1280,10737418240,4765367996,901,773,0,0,7558135808,7558135808,865,3778,0,0
