chunk_size,ratio,arm,policy,demand_faults,total_refs,miss_rate,source
8388608,0.25,C,lru,1280,1280,1.0000,campaign12_phaseD
8388608,0.375,C,lru,1280,1280,1.0000,campaign12_phaseD
8388608,0.5,C,lru,1280,1280,1.0000,campaign12_phaseD
8388608,0.625,C,lru,1280,1280,1.0000,campaign12_phaseD
8388608,0.75,C,lru,1280,1280,1.0000,campaign12_phaseD
8388608,0.25,D,layer_order_declared,1024,1280,0.8000,wp1_sweep
8388608,0.5,D,layer_order_declared,768,1280,0.6000,wp1_sweep
8388608,0.75,D,layer_order_declared,512,1280,0.4000,wp1_sweep
8388608,0.25,E,layer_order_declared,347,1280,0.2711,wp1_sweep
8388608,0.5,E,layer_order_declared,263,1280,0.2055,wp1_sweep
8388608,0.75,E,layer_order_declared,175,1280,0.1367,wp1_sweep
8388608,0.25,OPT,belady,1024,1280,0.8000,belady_main
8388608,0.375,OPT,belady,896,1280,0.7000,belady_main
8388608,0.5,OPT,belady,768,1280,0.6000,belady_main
8388608,0.625,OPT,belady,640,1280,0.5000,belady_main
8388608,0.75,OPT,belady,512,1280,0.4000,belady_main
134217728,0.25,C,lru,80,80,1.0000,campaign12_phaseD
134217728,0.375,C,lru,80,80,1.0000,campaign12_phaseD
134217728,0.5,C,lru,80,80,1.0000,campaign12_phaseD
134217728,0.625,C,lru,80,80,1.0000,campaign12_phaseD
134217728,0.75,C,lru,80,80,1.0000,campaign12_phaseD
134217728,0.25,D,layer_order_declared,75,80,0.9375,wp1_sweep
134217728,0.5,D,layer_order_declared,55,80,0.6875,wp1_sweep
134217728,0.75,D,layer_order_declared,35,80,0.4375,wp1_sweep
134217728,0.25,E,layer_order_declared,40,80,0.5000,wp1_sweep
134217728,0.5,E,layer_order_declared,26,80,0.3250,wp1_sweep
134217728,0.75,E,layer_order_declared,16,80,0.2000,wp1_sweep
134217728,0.25,OPT,belady,65,80,0.8125,belady_main
134217728,0.375,OPT,belady,56,80,0.7000,belady_main
134217728,0.5,OPT,belady,48,80,0.6000,belady_main
134217728,0.625,OPT,belady,40,80,0.5000,belady_main
134217728,0.75,OPT,belady,32,80,0.4000,belady_main
