ratio,arm,config,read_GB,read/OPT,demand_faults,tokens_s_med,p99_inter_ms_med,note
0.25,A,"kernel mmap, memory.max=B",129.1,1.167,-,0.65,1922,"achieved 1244 MiB/s (< 3396 ceiling, no host-cache flag)"
0.25,C,lru,144.4,1.305,2817,0.97,1090,
0.25,D,"layer_order_declared, prefetch off",125.0,1.130,2689,1.12,927,
0.25,E,"declared + prefetch d2 pinned, protect off",142.1,1.284,1055,1.22,881,completes (was a livelock with protect_current on); prefetch non-advantageous vs D here
0.25,OPT,"belady, declared seq, 65 passes",110.6,1.000,-,-,-,
0.375,A,"kernel mmap, memory.max=B",110.4,1.225,-,0.79,1496,"achieved 1298 MiB/s (< 3396 ceiling, no host-cache flag)"
0.375,C,lru,143.2,1.589,2753,0.96,1077,
0.375,D,"layer_order_declared, prefetch off",98.5,1.093,2141,1.35,804,
0.375,E,"declared + prefetch d2 pinned, protect off",111.1,1.233,937,1.53,735,completes (was a livelock with protect_current on); prefetch non-advantageous vs D here
0.375,OPT,"belady, declared seq, 65 passes",90.1,1.000,-,-,-,
0.5,A,"kernel mmap, memory.max=B",111.3,1.532,-,0.62,1820,"achieved 1020 MiB/s (< 3396 ceiling, no host-cache flag)"
0.5,C,lru,134.5,1.852,2561,1.01,1015,
0.5,D,"layer_order_declared, prefetch off",78.9,1.086,1734,1.65,689,
0.5,E,"declared + prefetch d2 pinned, protect off",84.9,1.169,766,1.88,661,
0.5,OPT,"belady, declared seq, 65 passes",72.6,1.000,-,-,-,
0.625,A,"kernel mmap, memory.max=B",105.1,1.904,-,0.64,1687,"achieved 999 MiB/s (< 3396 ceiling, no host-cache flag)"
0.625,C,lru,134.5,2.438,2561,0.99,1056,
0.625,D,"layer_order_declared, prefetch off",59.7,1.081,1300,2.17,506,
0.625,E,"declared + prefetch d2 pinned, protect off",62.9,1.139,653,2.34,485,
0.625,OPT,"belady, declared seq, 65 passes",55.2,1.000,-,-,-,
0.75,A,"kernel mmap, memory.max=B",83.3,2.175,-,0.75,1876,"achieved 927 MiB/s (< 3396 ceiling, no host-cache flag)"
0.75,C,lru,134.5,3.511,2561,0.97,1157,
0.75,D,"layer_order_declared, prefetch off",41.9,1.095,915,2.85,409,
0.75,E,"declared + prefetch d2 pinned, protect off",43.4,1.132,489,3.06,403,
0.75,OPT,"belady, declared seq, 65 passes",38.3,1.000,-,-,-,
