ratio,arm,policy,prefetch,rep,B_bytes,budget_bytes,memory_max,n_prompt,n_decoded,layer_transitions,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_fetching,resident_end,memory_peak,handler_p99_ns,vmhwm_kb,achieved_mibs,hostcache_flag,rc
0.25,A,mmap,off,1,526233600,526233600,526233600,16,64,2304,0.758,1477.13,1958.393,97.407,0.657,128752144384,,,,,,,,,526233600,,507184,1261,,0
0.25,C,lru,off,1,526233600,526233600,660451328,16,64,2304,0.217,1338.99,1193.640,66.918,0.956,144411901952,144412164096,2817,2813,0,0,0,490,479617024,619921408,134217727,1105152,,,0
0.25,D,layer_order_declared,off,1,526233600,526233600,660451328,16,64,2304,0.190,1126.45,1358.696,70.515,0.908,126141300736,126141304832,2499,2495,0,0,0,476,479617024,608514048,134217727,1096792,,,0
0.25,E,layer_order_declared,on,1,526233600,526233600,660451328,,,,,,,,,,,,,,,,,,612667392,,,,,124
0.25,A,mmap,off,2,526233600,526233600,526233600,16,64,2304,0.750,1601.89,1921.994,106.285,0.602,131025559552,,,,,,,,,526233600,,508536,1176,,0
0.25,C,lru,off,2,526233600,526233600,660451328,16,64,2304,0.247,1695.90,1367.054,80.574,0.794,144411901952,144412164096,2817,2813,0,0,0,490,479617024,619950080,134217727,1105260,,,0
0.25,D,layer_order_declared,off,2,526233600,526233600,660451328,16,64,2304,0.248,1423.24,1360.933,71.247,0.898,126141300736,126141304832,2499,2495,0,0,0,476,479617024,608845824,134217727,1096756,,,0
0.25,E,layer_order_declared,on,2,526233600,526233600,660451328,,,,,,,,,,,,,,,,,,611999744,,,,,124
0.25,A,mmap,off,3,526233600,526233600,526233600,16,64,2304,0.983,2089.63,1761.976,98.952,0.647,129073213440,,,,,,,,,526233600,,512144,1244,,0
0.25,C,lru,off,3,526233600,526233600,660451328,16,64,2304,0.264,1745.62,1336.825,77.873,0.822,144411901952,144412164096,2817,2813,0,0,0,490,479617024,620478464,134217727,1105300,,,0
