ratio,budget_bytes,passes,opt_misses,opt_missed_bytes,sum_chunk_bytes,equal_size
0.25,526233600,65,2324,110630731776,2098978816,
0.375,789350400,65,1945,90148659200,2098978816,
0.5,1052467200,65,1565,72638390272,2098978816,
0.625,1315584000,65,1192,55181262848,2098978816,
0.75,1578700800,65,826,38306242560,2098978816,
0.25,526233600,64,2287,109011361792,2098978816,
0.375,789350400,64,1915,88807546880,2098978816,
0.5,1052467200,64,1542,71299039232,2098978816,
0.625,1315584000,64,1175,54390161408,2098978816,
0.75,1578700800,64,816,37511090176,2098978816,
