combo,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_read_bytes_delta,wall_ns,rc
tid0_on,8388608,0.25,0,1,1280,1024,960,8589934592,8589934592,6732087943,0
tid0_on,8388608,0.25,0,2,1280,1024,960,8589934592,8589934592,5933433367,0
tid0_on,8388608,0.25,0,3,1280,1024,960,8589934592,8589934592,5751657214,0
tid0_on,8388608,0.25,400000,1,1280,1024,960,8589934592,8589934592,7157818364,0
tid0_on,8388608,0.25,400000,2,1280,1024,960,8589934592,8589934592,6839583014,0
tid0_on,8388608,0.25,400000,3,1280,1024,960,8589934592,8589934592,6990869595,0
tid0_on,8388608,0.5,0,1,1280,768,640,6442450944,6442450944,4515468091,0
tid0_on,8388608,0.5,0,2,1280,768,640,6442450944,6442450944,4413975055,0
tid0_on,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,3869245217,0
tid0_on,8388608,0.5,400000,1,1280,768,640,6442450944,6442450944,5600358509,0
tid0_on,8388608,0.5,400000,2,1280,768,640,6442450944,6442450944,5878173530,0
tid0_on,8388608,0.5,400000,3,1280,768,640,6442450944,6442450944,5859710787,0
tid0_on,8388608,0.75,0,1,1280,512,320,4294967296,4294967296,3433622778,0
tid0_on,8388608,0.75,0,2,1280,512,320,4294967296,4294967296,3334446741,0
tid0_on,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,3129505099,0
tid0_on,8388608,0.75,400000,1,1280,512,320,4294967296,4294967296,5268957394,0
tid0_on,8388608,0.75,400000,2,1280,512,320,4294967296,4294967296,4495565228,0
tid0_on,8388608,0.75,400000,3,1280,512,320,4294967296,4294967296,3981200141,0
tid0_on,134217728,0.25,0,1,80,75,71,10066329600,10066329600,5394170853,0
tid0_on,134217728,0.25,0,2,80,75,71,10066329600,10066329600,5063451975,0
tid0_on,134217728,0.25,0,3,80,75,71,10066329600,10066329600,5107884661,0
tid0_on,134217728,0.25,400000,1,80,75,71,10066329600,10066329600,6068462719,0
tid0_on,134217728,0.25,400000,2,80,75,71,10066329600,10066329600,5955360619,0
tid0_on,134217728,0.25,400000,3,80,75,71,10066329600,10066329600,6817830692,0
