config,rep,rc,n_decoded,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,resident_end,memory_peak
orig_protect_on_traced,0,124,,,,,,1142,1238,101,0,0,,629686272
default_protect_off,1,0,64,67.004,0.955,171705749504,171705954304,1689,3371,1685,0,0,479608832,632201216
protect_on,1,124,,,,,,1174,1297,128,0,0,,629878784
off_retention_none,1,0,64,67.575,0.947,166161637376,166161899520,1601,3264,1666,0,0,479608832,632201216
off_depth1,1,0,64,76.401,0.838,171666137088,171666399232,2236,3448,1216,0,0,523120640,629956608
off_none_depth1,1,0,64,76.199,0.840,173777162240,173777424384,2193,3403,1214,0,0,523120640,629305344
default_protect_off,2,0,64,76.807,0.833,173081649152,173081878528,1706,3408,1705,0,0,479608832,632471552
protect_on,2,124,,,,,,1093,1117,28,0,0,,630366208
off_retention_none,2,0,64,61.806,1.035,166547972096,166548226048,1605,3274,1672,0,0,479608832,632291328
off_depth1,2,0,64,68.640,0.932,171066265600,171066527744,2223,3435,1216,0,0,523120640,629739520
off_none_depth1,2,0,64,78.574,0.815,173493112832,173493374976,2185,3397,1216,0,0,523120640,629612544
default_protect_off,3,0,64,64.873,0.987,172481003520,172481241088,1698,3397,1702,0,0,479608832,632156160
protect_on,3,124,,,,,,1207,1428,225,0,1,,630583296
off_retention_none,3,0,64,62.534,1.023,167012044800,167012298752,1611,3287,1679,0,0,479608832,631930880
off_depth1,3,0,64,67.617,0.947,171628441600,171628703744,2237,3447,1214,0,0,523120640,629858304
off_none_depth1,3,0,64,72.227,0.886,173579866112,173580128256,2189,3399,1214,0,0,523120640,629866496
