ratio,arm,detail,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.25,A,mmap_normal_off,1,80,10737418240,3050744427,n/a,n/a,n/a,n/a,,10743746560,0,0
0.25,A,mmap_normal_off,2,80,10737418240,2746772713,n/a,n/a,n/a,n/a,,10743615488,0,0
0.25,A,mmap_normal_off,3,80,10737418240,2680388975,n/a,n/a,n/a,n/a,,10737455104,0,0
0.25,A,mmap_random_off,1,80,10737418240,169295351655,n/a,n/a,n/a,n/a,,10737164288,0,0
0.25,A,mmap_random_off,2,80,10737418240,167673276219,n/a,n/a,n/a,n/a,,10736943104,0,0
0.25,A,mmap_random_off,3,80,10737418240,162494206613,n/a,n/a,n/a,n/a,,10736648192,0,0
0.25,A,mmap_sequential_off,1,80,10737418240,2221852297,n/a,n/a,n/a,n/a,,10737455104,0,0
0.25,A,mmap_sequential_off,2,80,10737418240,2124657373,n/a,n/a,n/a,n/a,,10737455104,0,0
0.25,A,mmap_sequential_off,3,80,10737418240,2138817855,n/a,n/a,n/a,n/a,,10737455104,0,0
0.25,B,mmap_sequential_on,1,80,10737418240,2924744563,n/a,n/a,n/a,n/a,,10191699968,0,0
0.25,B,mmap_sequential_on,2,80,10737418240,3015974946,n/a,n/a,n/a,n/a,,10192158720,0,0
0.25,B,mmap_sequential_on,3,80,10737418240,2888533058,n/a,n/a,n/a,n/a,,10191994880,0,0
0.25,C,lru_off,1,80,10737418240,4932255429,80,76,0,0,10737418240,10737418240,0,0
0.25,C,lru_off,2,80,10737418240,5022858775,80,76,0,0,10737418240,10737418240,0,0
0.25,C,lru_off,3,80,10737418240,4996305198,80,76,0,0,10737418240,10737418240,0,0
0.25,D,layer_order_off,1,80,10737418240,4285412980,69,65,0,0,9261023232,9261023232,0,0
0.25,D,layer_order_off,2,80,10737418240,4141899211,69,65,0,0,9261023232,9261023232,0,0
0.25,D,layer_order_off,3,80,10737418240,4678915601,69,65,0,0,9261023232,9261023232,0,0
0.25,E,layer_order_on,1,80,10737418240,5202241792,55,81,0,30,11408506880,11408506880,0,0
0.25,E,layer_order_on,2,80,10737418240,5182127252,55,81,0,30,11408506880,11408506880,0,0
0.25,E,layer_order_on,3,80,10737418240,5097893560,55,81,0,30,11408506880,11408506880,0,0
0.25,OPT,belady_over_D_trace,1,,,,65,,,,,8724152320,0,
0.25,OPT,belady_over_D_trace,2,,,,65,,,,,8724152320,0,
0.25,OPT,belady_over_D_trace,3,,,,65,,,,,8724152320,0,
0.5,A,mmap_normal_off,1,80,10737418240,2347774208,n/a,n/a,n/a,n/a,,10787782656,0,0
0.5,A,mmap_normal_off,2,80,10737418240,2419378997,n/a,n/a,n/a,n/a,,10787655680,0,0
0.5,A,mmap_normal_off,3,80,10737418240,2475370791,n/a,n/a,n/a,n/a,,10768850944,0,0
0.5,A,mmap_random_off,1,80,10737418240,164427822762,n/a,n/a,n/a,n/a,,10736934912,0,0
0.5,A,mmap_random_off,2,80,10737418240,174529981535,n/a,n/a,n/a,n/a,,10736316416,0,0
0.5,A,mmap_random_off,3,80,10737418240,169187069106,n/a,n/a,n/a,n/a,,10736963584,0,0
0.5,A,mmap_sequential_off,1,80,10737418240,2637438423,n/a,n/a,n/a,n/a,,10737455104,0,0
0.5,A,mmap_sequential_off,2,80,10737418240,2220940454,n/a,n/a,n/a,n/a,,10737455104,0,0
0.5,A,mmap_sequential_off,3,80,10737418240,2270586763,n/a,n/a,n/a,n/a,,10737455104,0,0
0.5,B,mmap_sequential_on,1,80,10737418240,2953645080,n/a,n/a,n/a,n/a,,10192093184,0,0
0.5,B,mmap_sequential_on,2,80,10737418240,2966219625,n/a,n/a,n/a,n/a,,10192093184,0,0
0.5,B,mmap_sequential_on,3,80,10737418240,3092273595,n/a,n/a,n/a,n/a,,10192027648,0,0
0.5,C,lru_off,1,80,10737418240,5803510093,80,72,0,0,10737418240,10737418240,0,0
0.5,C,lru_off,2,80,10737418240,5501610468,80,72,0,0,10737418240,10737418240,0,0
0.5,C,lru_off,3,80,10737418240,5322515074,80,72,0,0,10737418240,10737418240,0,0
0.5,D,layer_order_off,1,80,10737418240,3733507415,57,49,0,0,7650410496,7650410496,0,0
0.5,D,layer_order_off,2,80,10737418240,3828054439,57,49,0,0,7650410496,7650410496,0,0
0.5,D,layer_order_off,3,80,10737418240,3674918686,57,49,0,0,7650410496,7650410496,0,0
0.5,E,layer_order_on,1,80,10737418240,4172940725,44,56,0,20,8589934592,8589934592,0,0
0.5,E,layer_order_on,2,80,10737418240,4397527541,44,56,0,20,8589934592,8589934592,0,0
0.5,E,layer_order_on,3,80,10737418240,4173131473,44,56,0,20,8589934592,8589934592,0,0
0.5,OPT,belady_over_D_trace,1,,,,48,,,,,6442450944,0,
0.5,OPT,belady_over_D_trace,2,,,,48,,,,,6442450944,0,
0.5,OPT,belady_over_D_trace,3,,,,48,,,,,6442450944,0,
0.75,A,mmap_normal_off,1,80,10737418240,3000761924,n/a,n/a,n/a,n/a,,10762620928,0,0
0.75,A,mmap_normal_off,2,80,10737418240,2451499215,n/a,n/a,n/a,n/a,,10768846848,0,0
0.75,A,mmap_normal_off,3,80,10737418240,2448246397,n/a,n/a,n/a,n/a,,10768912384,0,0
0.75,A,mmap_random_off,1,80,10737418240,162884318387,n/a,n/a,n/a,n/a,,10734247936,0,0
0.75,A,mmap_random_off,2,80,10737418240,167356925134,n/a,n/a,n/a,n/a,,10732523520,0,0
0.75,A,mmap_random_off,3,80,10737418240,163572176847,n/a,n/a,n/a,n/a,,10717413376,0,0
0.75,A,mmap_sequential_off,1,80,10737418240,2628471465,n/a,n/a,n/a,n/a,,10737455104,0,0
0.75,A,mmap_sequential_off,2,80,10737418240,2346919396,n/a,n/a,n/a,n/a,,10737455104,0,0
0.75,A,mmap_sequential_off,3,80,10737418240,2334351125,n/a,n/a,n/a,n/a,,10737455104,0,0
0.75,B,mmap_sequential_on,1,80,10737418240,3613688176,n/a,n/a,n/a,n/a,,10192158720,0,0
0.75,B,mmap_sequential_on,2,80,10737418240,3151147784,n/a,n/a,n/a,n/a,,10192158720,0,0
0.75,B,mmap_sequential_on,3,80,10737418240,3030911336,n/a,n/a,n/a,n/a,,10192158720,0,0
0.75,C,lru_off,1,80,10737418240,5660724516,80,68,0,0,10737418240,10737418240,0,0
0.75,C,lru_off,2,80,10737418240,5564341734,80,68,0,0,10737418240,10737418240,0,0
0.75,C,lru_off,3,80,10737418240,5383153571,80,68,0,0,10737418240,10737418240,0,0
0.75,D,layer_order_off,1,80,10737418240,2867021567,41,29,0,0,5502926848,5502926848,0,0
0.75,D,layer_order_off,2,80,10737418240,3085375282,41,29,0,0,5502926848,5502926848,0,0
0.75,D,layer_order_off,3,80,10737418240,3422033093,41,29,0,0,5502926848,5502926848,0,0
0.75,E,layer_order_on,1,80,10737418240,4087005305,32,28,0,8,5368709120,5368709120,0,0
0.75,E,layer_order_on,2,80,10737418240,3344141615,32,28,0,8,5368709120,5368709120,0,0
0.75,E,layer_order_on,3,80,10737418240,2587945119,32,28,0,8,5368709120,5368709120,0,0
0.75,OPT,belady_over_D_trace,1,,,,32,,,,,4294967296,0,
0.75,OPT,belady_over_D_trace,2,,,,32,,,,,4294967296,0,
0.75,OPT,belady_over_D_trace,3,,,,32,,,,,4294967296,0,
