data_file,citation_count,cited_by
results/ASYNC_REPORT.md,2,"CLAUDE.md;results/PROJECT_STATE.md"
results/BARE_METAL_PLAN.md,3,"results/PROJECT_STATE.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md"
results/CONCURRENCY_REPORT.md,3,"CLAUDE.md;docs/MECHANISM_SPEC.md;results/PROJECT_STATE.md"
results/DIAGNOSTIC_REPORT.md,4,"CLAUDE.md;results/PROJECT_STATE.md;results/phase1_platform_io.md;results/phase3_chunk_size.md"
results/HARNESS_REPORT.md,4,"CLAUDE.md;docs/inventory.md;results/HARNESS_REPORT_V2.md;results/PROJECT_STATE.md"
results/HARNESS_REPORT_V2.md,5,"CLAUDE.md;docs/inventory.md;results/DIAGNOSTIC_REPORT.md;results/HARNESS_REPORT.md;results/PROJECT_STATE.md"
results/LOOKAHEAD_REPORT.md,3,"CLAUDE.md;docs/MECHANISM_SPEC.md;results/PROJECT_STATE.md"
results/PROJECT_STATE.md,10,"CLAUDE.md;docs/cleanup.md;docs/inventory.md;docs/overnight/Runbook.md;results/campaign12_phaseA_baseline.md;results/campaign13_phaseB_metric_repair.md;results/cleanup/CLEANUP_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/overnight/BLOCKERS.md;results/overnight/OVERNIGHT_SUMMARY.md"
results/campaign12_phaseA_baseline.md,1,"results/PROJECT_STATE.md"
results/campaign12_phaseA_phase3_AB.csv,1,"results/campaign12_phaseA_baseline.md"
results/campaign12_phaseA_phase3_AB_log.txt,0,""
results/campaign12_phaseA_phase4_AB.csv,1,"results/campaign12_phaseA_baseline.md"
results/campaign12_phaseA_phase4_AB_log.txt,0,""
results/campaign12_phaseB_chunk_floor.csv,2,"results/campaign12_phaseB_chunk_floor.md;results/overnight/wp3_figures.md"
results/campaign12_phaseB_chunk_floor.md,2,"results/PROJECT_STATE.md;results/campaign12_phaseD_paper_table.md"
results/campaign12_phaseB_chunk_floor_log.txt,0,""
results/campaign12_phaseB_gate_log.txt,0,""
results/campaign12_phaseC_hitrate_audit.md,0,""
results/campaign12_phaseD_paper_table.csv,6,"results/campaign12_phaseD_paper_table.md;results/campaign13_phaseA_policy_determinism.md;results/campaign13_phaseB_metric_repair.md;results/campaign13_phaseC_claims.md;results/overnight/CLAIMS.md;results/overnight/wp3_figures.md"
results/campaign12_phaseD_paper_table.md,2,"results/PROJECT_STATE.md;results/campaign13_phaseA_policy_determinism.md"
results/campaign12_phaseD_paper_table_log.txt,0,""
results/campaign13_phaseA1_reproduce.csv,2,"results/campaign13_phaseA_policy_determinism.md;results/overnight/wp1_declared_order.md"
results/campaign13_phaseA1_reproduce_log.txt,0,""
results/campaign13_phaseA2_determinism.csv,1,"results/campaign13_phaseA_policy_determinism.md"
results/campaign13_phaseA2_determinism_log.txt,0,""
results/campaign13_phaseA3_trace_log.txt,0,""
results/campaign13_phaseA3b_trace_log.txt,0,""
results/campaign13_phaseA_policy_determinism.md,1,"results/PROJECT_STATE.md"
results/campaign13_phaseB_metric_repair.md,1,"results/PROJECT_STATE.md"
results/campaign13_phaseC_claims.md,2,"results/BARE_METAL_PLAN.md;results/PROJECT_STATE.md"
results/cleanup/CLEANUP_SUMMARY.md,2,"docs/cleanup.md;results/PROJECT_STATE.md"
results/cleanup/RELATED_WORK.md,4,"docs/cleanup.md;docs/inventory.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md"
results/cleanup/phase1_deadlock_fix.md,6,"docs/cleanup.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/cleanup/RELATED_WORK.md;results/cleanup/phase2_claims_reconciled.md;results/overnight/CLAIMS.md"
results/cleanup/phase1_reverify.csv,1,"results/cleanup/phase1_deadlock_fix.md"
results/cleanup/phase1_verify.csv,2,"results/cleanup/phase1_deadlock_fix.md;results/overnight/CLAIMS.md"
results/cleanup/phase1_verify_log.txt,0,""
results/cleanup/phase2_claims_reconciled.md,3,"docs/cleanup.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md"
results/cleanup/repro_deadlock.log,0,""
results/cleanup/repro_decisive.log,2,"results/cleanup/phase1_deadlock_fix.md;results/overnight/CLAIMS.md"
results/correctness_harness_log.txt,7,"results/ASYNC_REPORT.md;results/BARE_METAL_PLAN.md;results/HARNESS_REPORT_V2.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/overnight/wp1_declared_order.md;results/phase2_compute.md"
results/final/BLOCKERS.md,13,"docs/cleanup.md;docs/overnight/Runbook.md;docs/overnight/WP2.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/final/phase1_equal_budget.md;results/overnight/BLOCKERS.md;results/overnight/CLAIMS.md;results/overnight/OVERNIGHT_SUMMARY.md;results/overnight/wp2_llamacpp.md;results/overnight/wp3_figures.md"
results/final/FINAL_SUMMARY.md,2,"docs/cleanup.md;results/cleanup/CLEANUP_SUMMARY.md"
results/final/WRITEUP_PACKAGE.md,6,"docs/cleanup.md;docs/inventory.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/cleanup/phase2_claims_reconciled.md;results/final/FINAL_SUMMARY.md"
results/final/phase1_C.cfg,0,""
results/final/phase1_D.cfg,0,""
results/final/phase1_E.cfg,0,""
results/final/phase1_console.txt,0,""
results/final/phase1_equal_budget.csv,10,"docs/cleanup.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/cleanup/phase1_deadlock_fix.md;results/cleanup/phase2_claims_reconciled.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/final/phase1_equal_budget.md;results/final/phase4_figures.md;results/overnight/CLAIMS.md"
results/final/phase1_equal_budget.md,5,"results/PROJECT_STATE.md;results/cleanup/RELATED_WORK.md;results/final/BLOCKERS.md;results/final/FINAL_SUMMARY.md;results/overnight/CLAIMS.md"
results/final/phase1_equal_budget_log.txt,1,"results/final/phase1_equal_budget.md"
results/final/phase1_opt.csv,5,"results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/final/phase1_equal_budget.md;results/final/phase4_figures.md;results/overnight/CLAIMS.md"
results/final/phase1_supervisor.log,0,""
results/final/phase2_console.txt,0,""
results/final/phase2_consumption_signal.md,3,"results/PROJECT_STATE.md;results/cleanup/RELATED_WORK.md;results/final/FINAL_SUMMARY.md"
results/final/phase2_determinism.csv,3,"results/final/FINAL_SUMMARY.md;results/final/phase2_consumption_signal.md;results/overnight/CLAIMS.md"
results/final/phase2_log.txt,1,"results/final/phase2_consumption_signal.md"
results/final/phase2_opt.csv,2,"results/final/WRITEUP_PACKAGE.md;results/final/phase2_consumption_signal.md"
results/final/phase2_supervisor.log,0,""
results/final/phase2_sweep.csv,5,"results/cleanup/phase2_claims_reconciled.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/final/phase2_consumption_signal.md;results/overnight/CLAIMS.md"
results/final/phase3_arm_e.csv,3,"results/final/FINAL_SUMMARY.md;results/final/phase3_arm_e_collapse.md;results/final/phase4_figures.md"
results/final/phase3_arm_e_collapse.md,3,"results/PROJECT_STATE.md;results/final/BLOCKERS.md;results/final/FINAL_SUMMARY.md"
results/final/phase3_console.txt,0,""
results/final/phase3_default_protect_off.cfg,0,""
results/final/phase3_log.txt,2,"results/final/FINAL_SUMMARY.md;results/final/phase3_arm_e_collapse.md"
results/final/phase3_off_depth1.cfg,0,""
results/final/phase3_off_none_depth1.cfg,0,""
results/final/phase3_off_retention_none.cfg,0,""
results/final/phase3_orig_protect_on_traced.cfg,0,""
results/final/phase3_protect_on.cfg,0,""
results/final/phase3_supervisor.log,0,""
results/final/phase4_figures.md,1,"results/final/FINAL_SUMMARY.md"
results/harness_sweep.csv,1,"results/HARNESS_REPORT.md"
results/harness_v2_sweep.csv,1,"results/HARNESS_REPORT_V2.md"
results/item10_harness_log.txt,1,"results/HARNESS_REPORT.md"
results/item10_v2_harness_log.txt,1,"results/HARNESS_REPORT_V2.md"
results/item1_manifest_happy.txt,0,""
results/item1_test_log.txt,0,""
results/item2_3_test_log.txt,0,""
results/item4_test_log.txt,0,""
results/item5_test_log.txt,0,""
results/item6_test_log.txt,0,""
results/item8_test_log.txt,0,""
results/item9_test_log.txt,0,""
results/overnight/BLOCKERS.md,13,"docs/cleanup.md;docs/overnight/Runbook.md;docs/overnight/WP2.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/final/FINAL_SUMMARY.md;results/final/WRITEUP_PACKAGE.md;results/final/phase1_equal_budget.md;results/overnight/BLOCKERS.md;results/overnight/CLAIMS.md;results/overnight/OVERNIGHT_SUMMARY.md;results/overnight/wp2_llamacpp.md;results/overnight/wp3_figures.md"
results/overnight/CLAIMS.md,10,"docs/cleanup.md;docs/inventory.md;docs/overnight/WP3.md;results/PROJECT_STATE.md;results/cleanup/CLEANUP_SUMMARY.md;results/cleanup/RELATED_WORK.md;results/cleanup/phase2_claims_reconciled.md;results/final/phase4_figures.md;results/overnight/OVERNIGHT_SUMMARY.md;results/overnight/wp3_figures.md"
results/overnight/OVERNIGHT_SUMMARY.md,3,"docs/overnight/Runbook.md;results/PROJECT_STATE.md;results/overnight/CLAIMS.md"
results/overnight/figures/figure1_bytes_per_work.csv,0,""
results/overnight/figures/figure1_bytes_per_work.png,0,""
results/overnight/figures/figure2_miss_rate.csv,1,"results/overnight/CLAIMS.md"
results/overnight/figures/figure2_miss_rate.png,0,""
results/overnight/figures/figure3_chunk_size_tradeoff.csv,1,"results/overnight/CLAIMS.md"
results/overnight/figures/figure3_chunk_size_tradeoff.png,0,""
results/overnight/figures/figure4_reclaim_authority.csv,2,"results/final/WRITEUP_PACKAGE.md;results/overnight/CLAIMS.md"
results/overnight/figures/figure4_reclaim_authority.png,0,""
results/overnight/figures/figure5_prefetch_total_fetches.csv,1,"results/overnight/CLAIMS.md"
results/overnight/figures/figure5_prefetch_total_fetches.png,0,""
results/overnight/figures/figure6_llamacpp.csv,2,"results/overnight/CLAIMS.md;results/overnight/OVERNIGHT_SUMMARY.md"
results/overnight/figures/figure6_llamacpp.png,0,""
results/overnight/figures/figure7_throughput_scaling.csv,0,""
results/overnight/figures/figure7_throughput_scaling.png,0,""
results/overnight/figures/table1_final_real_model.csv,0,""
results/overnight/figures/table1_final_real_model.md,0,""
