extension,count,total_bytes
gguf,20,2182488920
bin,38,2181616144
js,19881,174844918
map,2302,107037675
node,9,48551424
mjs,1615,46155758
ts,12291,41706646
o,310,41694304
csv,60,37449841
cpp,607,33204775
fetchtrace,1008,21712960
dll,2,18739712
json,1674,14001645
txt,281,13978942
cjs,401,12287247
41,3,12243744
exe,1,11670528
md,1524,11531686
a,4,11327854
dat,1,10468208
gif,7,9149578
so,3,8549512
h,296,7807726
svelte,2687,4467554
make,363,4303905
d,308,4037989
png,159,3950240
c,133,3530495
css,593,3154108
gz,1,3083451
(none),19,3068979
py,246,2994932
internal,7,2916554
reftrace,276,2704608
mts,726,2194831
0,3,2168016
hpp,74,1670879
webp,12,1668554
cts,203,1640438
cl,167,1489097
html,47,1475893
cpp/build/bin/llama-cli,1,1281704
ttf,26,1248068
bcmap,168,1165667
cu,187,1011405
schema,12,1001656
cuh,86,899524
scss,261,851867
flow,8,822945
ico,13,773272
mp4,2,767125
pdf,3,744430
tsbuildinfo,16,686053
jpg,5,634396
sh,182,590040
key,1,488591
metal,1,486283
comp,143,480658
yaml,5,474364
woff2,24,453088
cmake,280,446002
jinja,65,409828
wasm,3,400594
yml,208,387063
glsl,26,347917
woff,20,303116
cc,24,269489
svg,75,261102
wgsl,43,239470
cpp/build/CMakeFiles/Makefile2,1,231355
tmpl,6,208557
pfb,10,200615
cpp/build/src/Makefile,1,184514
mp3,1,140060
jpeg,1,124071
lock,1,103956
jst,50,100086
m,2,99194
log,9,97362
cpp/build/tools/ui/ui-src/node_modules/sass/LICENSE,1,87282
cpp/build/tools/ui/ui-src/node_modules/rollup/dist/bin/rollup,1,82269
cpp/build/tools/ui/llama-ui-embed,1,75480
ps1,81,70725
cpp/AUTHORS,1,65818
kt,11,65010
out,17,64236
cpp/build/tools/mtmd/Makefile,1,63944
cpp/build/tools/ui/ui-src/node_modules/katex/src/fonts/makeFF,1,60211
jar,1,59203
Dockerfile,11,49101
cpp/build/Makefile,1,44661
swift,9,43121
cpp/build/common/Makefile,1,42270
pl,1,41904
cpp/build/ggml/src/Makefile,1,36265
def,10,33524
cpp/build/tools/ui/ui-src/node_modules/open/xdg-open,1,32416
inp,15,29832
vim,1,26263
cpp/build/tools/ui/ui-src/node_modules/playwright-core/lib/utilsBundleImpl/xdg-open,1,25778
nix,11,24441
xml,33,24194
cpp/build/tools/server/Makefile,1,22592
hh,18,22572
cmd,68,22214
eslintrc,95,20916
markdown,5,19915
pbxproj,1,19175
cpp/build/tools/ui/ui-src/node_modules/caniuse-lite/LICENSE,1,18651
cpp/build/bin/llama-bench,1,17904
cpp/build/tools/ui/ui-src/node_modules/dompurify/LICENSE-MPL,1,16726
cpp/build/tools/ui/ui-src/node_modules/axe-core/LICENSE,1,15921
cpp/build/tools/ui/ui-src/node_modules/lightningcss/LICENSE,1,15648
cpp/build/tools/ui/ui-src/node_modules/lightningcss-win32-x64-msvc/LICENSE,1,15648
gyp,4,14842
1,5,14580
nycrc,85,14354
cpp/build/examples/lookup/Makefile,1,13887
cpp/build/examples/gguf-hash/Makefile,1,13698
editorconfig,45,13008
bat,6,12996
cpp/build/tools/ui/ui-src/node_modules/argparse/LICENSE,1,12775
in,9,11739
cpp/build/tools/cli/Makefile,1,11640
cpp/build/tools/ui/ui-src/node_modules/playwright/LICENSE,1,11601
cpp/build/tools/ui/ui-src/node_modules/playwright-core/LICENSE,1,11601
cpp/build/tools/ui/ui-src/node_modules/@playwright/test/LICENSE,1,11601
cpp/build/tools/ui/ui-src/node_modules/@trickfilm400/rollup-plugin-off-main-thread/LICENSE,1,11544
cpp/build/tools/ui/ui-src/node_modules/ejs/LICENSE,1,11358
cpp/build/tools/ui/ui-src/node_modules/dompurify/LICENSE,1,11358
cpp/build/tools/ui/ui-src/node_modules/@ampproject/remapping/LICENSE,1,11358
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/@trivago/prettier-plugin-sort-imports/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/@ianvs/prettier-plugin-sort-imports/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/detect-libc/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@humanwhocodes/retry/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@humanwhocodes/module-importer/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@humanfs/node/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@humanfs/core/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/plugin-kit/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/object-schema/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/core/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/config-helpers/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/config-array/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/@eslint/compat/LICENSE,1,11357
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/@zackad/prettier-plugin-twig/LICENSE,1,11356
cpp/build/tools/ui/ui-src/node_modules/eslint-visitor-keys/LICENSE,1,11337
cpp/build/tools/ui/ui-src/node_modules/@typescript-eslint/visitor-keys/node_modules/eslint-visitor-keys/LICENSE,1,11337
cpp/build/tools/ui/ui-src/node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys/LICENSE,1,11337
cpp/build/tools/ui/ui-src/node_modules/@internationalized/date/LICENSE,1,11335
cpp/build/tools/ui/ui-src/node_modules/dexie/LICENSE,1,11325
patch,5,11288
cpp/build/tools/ui/ui-src/node_modules/@swc/helpers/LICENSE,1,10836
cpp/build/tools/ui/ui-src/node_modules/expect-type/LICENSE,1,10760
cpp/build/tools/parser/Makefile,1,10746
disabled,1,10473
cpp/build/tools/ui/ui-src/node_modules/@img/sharp-win32-x64/LICENSE,1,10464
cpp/build/tools/batched-bench/Makefile,1,10389
