policy,protect,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_delta,signal_mode,rc
layer_order_declared,off,8388608,0.25,0,1,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.25,0,2,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.25,0,3,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.25,400000,1,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.25,400000,2,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.25,400000,3,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,off,8388608,0.5,0,1,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.5,0,2,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.5,400000,1,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.5,400000,2,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.5,400000,3,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,off,8388608,0.75,0,1,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,8388608,0.75,0,2,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,8388608,0.75,400000,1,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,8388608,0.75,400000,2,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,8388608,0.75,400000,3,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.25,0,1,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.25,0,2,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.25,0,3,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.25,400000,1,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.25,400000,2,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.25,400000,3,80,70,66,9395240960,9395240960,post,0
layer_order_declared,off,134217728,0.5,0,1,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.5,0,2,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.5,0,3,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.5,400000,1,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.5,400000,2,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.5,400000,3,80,50,42,6710886400,6710886400,post,0
layer_order_declared,off,134217728,0.75,0,1,80,32,20,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.75,0,2,80,32,20,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.75,0,3,80,32,20,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.75,400000,1,80,32,20,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.75,400000,2,80,32,20,4294967296,4294967296,post,0
layer_order_declared,off,134217728,0.75,400000,3,80,32,20,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.25,0,1,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.25,0,2,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.25,0,3,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.25,400000,1,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.25,400000,2,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.25,400000,3,1280,1024,960,8589934592,8589934592,post,0
layer_order_declared,on,8388608,0.5,0,1,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.5,0,2,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.5,400000,1,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.5,400000,2,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.5,400000,3,1280,768,640,6442450944,6442450944,post,0
layer_order_declared,on,8388608,0.75,0,1,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.75,0,2,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.75,400000,1,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.75,400000,2,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,8388608,0.75,400000,3,1280,512,320,4294967296,4294967296,post,0
layer_order_declared,on,134217728,0.25,0,1,80,80,76,10737418240,10737418240,post,0
layer_order_declared,on,134217728,0.25,0,2,80,80,76,10737418240,10737418240,post,0
layer_order_declared,on,134217728,0.25,0,3,80,80,76,10737418240,10737418240,post,0
layer_order_declared,on,134217728,0.25,400000,1,80,80,76,10737418240,10737418240,post,0
layer_order_declared,on,134217728,0.25,400000,2,80,80,76,10737418240,10737418240,post,0
layer_order_declared,on,134217728,0.25,400000,3,80,80,76,10737418240,10737418240,post,0
