ratio,arm,policy,prefetch,rep,B_bytes,budget_bytes,memory_max,n_prompt,n_decoded,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_fetching,prefetch_declined,fetching_timeout,resident_end,memory_peak,protect_current,signal_mode,rc
0.25,C,lru,off,1,526233600,526233600,660451328,16,64,0.192,1384.36,1064.147,65.107,0.983,144411901952,144412164096,2817,2813,0,0,0,484,0,0,479617024,631816192,off,pre,0
0.25,D,layer_order_declared,off,1,526233600,526233600,660451328,16,64,0.186,1238.47,950.256,57.310,1.117,124965801984,124966064128,2689,2686,0,0,0,464,0,0,479608832,626532352,off,pre,0
0.25,E,layer_order_declared,on,1,526233600,526233600,660451328,16,64,0.185,966.83,1007.668,53.960,1.186,142876008448,142876233728,1064,2760,1700,0,0,605,20,0,479617024,631808000,off,pre,0
0.25,C,lru,off,2,526233600,526233600,660451328,16,64,0.187,1308.18,1090.228,66.640,0.960,144411901952,144412164096,2817,2813,0,0,0,490,0,0,479617024,631193600,off,pre,0
0.25,D,layer_order_declared,off,2,526233600,526233600,660451328,16,64,0.181,1274.70,922.368,57.542,1.112,124965801984,124966064128,2689,2686,0,0,0,455,0,0,479608832,627138560,off,pre,0
0.25,E,layer_order_declared,on,2,526233600,526233600,660451328,16,64,0.209,959.82,880.904,52.690,1.215,142077767680,142078005248,1042,2747,1708,0,0,721,10,0,479608832,632438784,off,pre,0
0.25,C,lru,off,3,526233600,526233600,660451328,16,64,0.192,1302.43,1097.216,66.045,0.969,144411901952,144412164096,2817,2813,0,0,0,490,0,0,479617024,631877632,off,pre,0
0.25,D,layer_order_declared,off,3,526233600,526233600,660451328,16,64,0.182,1197.93,926.714,56.334,1.136,124965801984,124966064128,2689,2686,0,0,0,437,0,0,479608832,627679232,off,pre,0
0.25,E,layer_order_declared,on,3,526233600,526233600,660451328,16,64,0.191,966.60,867.947,52.577,1.217,140722212864,140722425856,1055,2706,1654,0,0,588,35,0,479608832,632045568,off,pre,0
0.375,C,lru,off,1,789350400,789350400,923568128,16,64,0.188,1339.60,1076.941,66.696,0.960,143227273216,143227535360,2753,2743,0,0,0,481,0,0,769626112,893079552,off,pre,0
0.375,D,layer_order_declared,off,1,789350400,789350400,923568128,16,64,0.178,1166.19,834.879,47.744,1.340,98506473472,98506649600,2141,2132,0,0,0,469,0,0,757862400,895565824,off,pre,0
0.375,E,layer_order_declared,on,1,789350400,789350400,923568128,16,64,0.190,938.13,725.746,41.618,1.538,110697590784,110747095040,936,2318,1391,0,0,294,0,0,757858304,893849600,off,pre,0
0.375,C,lru,off,2,789350400,789350400,923568128,16,64,0.182,1294.69,1067.477,66.326,0.965,143227273216,143227535360,2753,2743,0,0,0,476,0,0,769626112,892579840,off,pre,0
0.375,D,layer_order_declared,off,2,789350400,789350400,923568128,16,64,0.186,1169.21,765.470,45.970,1.392,98506473472,98506649600,2141,2132,0,0,0,458,0,0,757862400,895561728,off,pre,0
0.375,E,layer_order_declared,on,2,789350400,789350400,923568128,16,64,0.186,905.50,738.692,41.710,1.534,111146143744,111146319872,937,2327,1400,0,0,261,0,0,751783936,893853696,off,pre,0
0.375,C,lru,off,3,789350400,789350400,923568128,16,64,0.180,1265.88,1088.246,66.728,0.959,143227273216,143227535360,2753,2743,0,0,0,481,0,0,769626112,891969536,off,pre,0
0.375,D,layer_order_declared,off,3,789350400,789350400,923568128,16,64,0.181,1211.53,804.040,47.277,1.354,98506473472,98506649600,2141,2132,0,0,0,477,0,0,757862400,895107072,off,pre,0
0.375,E,layer_order_declared,on,3,789350400,789350400,923568128,16,64,0.182,933.20,734.976,42.037,1.522,111520169984,111619010560,947,2350,1412,0,0,301,0,0,757858304,894111744,off,pre,0
0.5,C,lru,off,1,1052467200,1052467200,1186684928,16,64,0.180,1318.50,1013.226,63.160,1.013,134509412352,134509674496,2561,2545,0,0,0,476,0,0,1041793024,1158688768,off,pre,0
0.5,D,layer_order_declared,off,1,1052467200,1052467200,1186684928,16,64,0.178,1208.45,661.183,37.974,1.685,78895312896,78895448064,1734,1718,0,0,0,460,0,0,1036124160,1160355840,off,pre,0
0.5,E,layer_order_declared,on,1,1052467200,1052467200,1186684928,16,64,0.185,899.50,660.914,34.074,1.878,84905295872,84954775552,778,1776,1013,0,0,397,0,0,1035841536,1159368704,off,pre,0
0.5,C,lru,off,2,1052467200,1052467200,1186684928,16,64,0.182,1266.92,1015.147,63.474,1.008,134509412352,134509674496,2561,2545,0,0,0,476,0,0,1041793024,1157718016,off,pre,0
0.5,D,layer_order_declared,off,2,1052467200,1052467200,1186684928,16,64,0.176,1181.71,803.303,39.282,1.629,78895312896,78895448064,1734,1718,0,0,0,426,0,0,1036124160,1159249920,off,pre,0
