chunk_size,ratio,arm,policy,read_bytes,bytes_per_touch_MiB,MiB_s,contaminated,source
8388608,0.25,A,madvise:normal,10821021696,8.06,2605.0,no,campaign12_phaseD
8388608,0.375,A,madvise:sequential,10737455104,8.00,2998.2,no,campaign12_phaseD
8388608,0.5,A,madvise:normal,10743746560,8.00,2669.3,no,campaign12_phaseD
8388608,0.625,A,madvise:sequential,10737389568,8.00,2622.3,no,campaign12_phaseD
8388608,0.75,A,madvise:sequential,10737389568,8.00,3574.7,YES,campaign12_phaseD
8388608,0.25,C,lru,10737418240,8.00,,no,campaign12_phaseD
8388608,0.375,C,lru,10737418240,8.00,,no,campaign12_phaseD
8388608,0.5,C,lru,10737418240,8.00,,no,campaign12_phaseD
8388608,0.625,C,lru,10737418240,8.00,,no,campaign12_phaseD
8388608,0.75,C,lru,10737418240,8.00,,no,campaign12_phaseD
8388608,0.25,D,layer_order_declared,8598323200,6.41,,no,wp1_sweep
8388608,0.5,D,layer_order_declared,6442450944,4.80,,no,wp1_sweep
8388608,0.75,D,layer_order_declared,4294967296,3.20,,no,wp1_sweep
8388608,0.25,E,layer_order_declared,9445572608,7.04,,no,wp1_sweep
8388608,0.5,E,layer_order_declared,6652166144,4.96,,no,wp1_sweep
8388608,0.75,E,layer_order_declared,4328521728,3.23,,no,wp1_sweep
8388608,0.25,OPT,belady,8589934592,6.40,,no,belady_main
8388608,0.375,OPT,belady,7516192768,5.60,,no,belady_main
8388608,0.5,OPT,belady,6442450944,4.80,,no,belady_main
8388608,0.625,OPT,belady,5368709120,4.00,,no,belady_main
8388608,0.75,OPT,belady,4294967296,3.20,,no,belady_main
134217728,0.25,A,madvise:sequential,10737455104,128.00,3831.3,YES,campaign12_phaseD
134217728,0.375,A,madvise:sequential,10737455104,128.00,3448.6,YES,campaign12_phaseD
134217728,0.5,A,madvise:sequential,10737455104,128.00,3547.2,YES,campaign12_phaseD
134217728,0.625,A,madvise:normal,10762444800,128.30,3746.2,YES,campaign12_phaseD
134217728,0.75,A,madvise:sequential,10737455104,128.00,3201.4,no,campaign12_phaseD
134217728,0.25,C,lru,10737418240,128.00,,no,campaign12_phaseD
134217728,0.375,C,lru,10737418240,128.00,,no,campaign12_phaseD
134217728,0.5,C,lru,10737418240,128.00,,no,campaign12_phaseD
134217728,0.625,C,lru,10737418240,128.00,,no,campaign12_phaseD
134217728,0.75,C,lru,10737418240,128.00,,no,campaign12_phaseD
134217728,0.25,D,layer_order_declared,8724152320,104.00,,no,wp1_sweep
134217728,0.5,D,layer_order_declared,6442450944,76.80,,no,wp1_sweep
134217728,0.75,D,layer_order_declared,4294967296,51.20,,no,wp1_sweep
134217728,0.25,E,layer_order_declared,14227079168,169.60,,no,wp1_sweep
134217728,0.5,E,layer_order_declared,11005853696,131.20,,no,wp1_sweep
134217728,0.75,E,layer_order_declared,5637144576,67.20,,no,wp1_sweep
134217728,0.25,OPT,belady,8724152320,104.00,,no,belady_main
134217728,0.375,OPT,belady,7516192768,89.60,,no,belady_main
134217728,0.5,OPT,belady,6442450944,76.80,,no,belady_main
134217728,0.625,OPT,belady,5368709120,64.00,,no,belady_main
134217728,0.75,OPT,belady,4294967296,51.20,,no,belady_main
