chunk_size_MiB,ratio,read_bytes,wall_ns,source
4,0.25,12054429696,11226815821,campaign12_phaseB
8,0.25,11869880320,8110391100,campaign12_phaseB
16,0.25,12129927168,7097680435,campaign12_phaseB
32,0.25,12247367680,7072512888,campaign12_phaseB
64,0.25,12348030976,6830070565,campaign11_phase3
128,0.25,13421772800,7145147253,campaign11_phase3
256,0.25,16642998272,7938689408,campaign11_phase3
4,0.5,9164554240,7943088845,campaign12_phaseB
8,0.5,9277800448,7393389081,campaign12_phaseB
16,0.5,9328132096,6087726526,campaign12_phaseB
32,0.5,9663676416,5577021393,campaign12_phaseB
64,0.5,10401873920,6132664448,campaign11_phase3
128,0.5,10871635968,6324079278,campaign11_phase3
256,0.5,13153337344,6437550051,campaign11_phase3
4,0.75,5754585088,5345884419,campaign12_phaseB
8,0.75,5712642048,4842996717,campaign12_phaseB
16,0.75,5855248384,5375432673,campaign12_phaseB
32,0.75,5771362304,4351100613,campaign12_phaseB
64,0.75,6375342080,4596666852,campaign11_phase3
128,0.75,7516192768,4960421899,campaign11_phase3
256,0.75,8053063680,4804581822,campaign11_phase3
