chunk_size,ratio,compute,arm,policy,demand,prefetch,total_fetches,source
134217728,0.25,0,D,layer_order_learned,71,0,71,campaign12_phaseD
134217728,0.25,0,E,layer_order_learned,60,38,98,campaign12_phaseD
134217728,0.375,0,D,layer_order_learned,63,0,63,campaign12_phaseD
134217728,0.375,0,E,layer_order_learned,50,35,85,campaign12_phaseD
134217728,0.5,0,D,layer_order_learned,57,0,57,campaign12_phaseD
134217728,0.5,0,E,layer_order_learned,46,28,74,campaign12_phaseD
134217728,0.625,0,D,layer_order_learned,51,0,51,campaign12_phaseD
134217728,0.625,0,E,layer_order_learned,42,24,66,campaign12_phaseD
134217728,0.75,0,D,layer_order_learned,41,0,41,campaign12_phaseD
134217728,0.75,0,E,layer_order_learned,36,17,53,campaign12_phaseD
134217728,0.25,400000,D,layer_order_learned,101,0,101,campaign12_phaseD
134217728,0.25,400000,E,layer_order_learned,81,47,128,campaign12_phaseD
134217728,0.375,400000,D,layer_order_learned,89,0,89,campaign12_phaseD
134217728,0.375,400000,E,layer_order_learned,60,38,98,campaign12_phaseD
134217728,0.5,400000,D,layer_order_learned,80,0,80,campaign12_phaseD
134217728,0.5,400000,E,layer_order_learned,48,31,79,campaign12_phaseD
134217728,0.625,400000,D,layer_order_learned,59,0,59,campaign12_phaseD
134217728,0.625,400000,E,layer_order_learned,49,22,71,campaign12_phaseD
134217728,0.75,400000,D,layer_order_learned,50,0,50,campaign12_phaseD
134217728,0.75,400000,E,layer_order_learned,37,11,48,campaign12_phaseD
