ratio,arm,read_GB,read_per_OPT,tokens_s,demand_faults,note,source
0.25,A,129.1,1.167,0.65,,,phase1_equal_budget
0.375,A,110.4,1.225,0.79,,,phase1_equal_budget
0.5,A,111.3,1.532,0.62,,,phase1_equal_budget
0.625,A,105.1,1.904,0.64,,,phase1_equal_budget
0.75,A,83.3,2.175,0.75,,,phase1_equal_budget
0.25,C,144.4,1.305,0.97,2817,,phase3_real_model
0.375,C,143.2,1.589,0.96,2753,,phase3_real_model
0.5,C,134.5,1.852,1.01,2561,,phase3_real_model
0.625,C,134.5,2.438,0.99,2561,,phase3_real_model
0.75,C,134.5,3.511,0.97,2561,,phase3_real_model
0.25,D,125.0,1.130,1.12,2689,,phase3_real_model
0.375,D,98.5,1.093,1.35,2141,,phase3_real_model
0.5,D,78.9,1.086,1.65,1734,,phase3_real_model
0.625,D,59.7,1.081,2.17,1300,,phase3_real_model
0.75,D,41.9,1.095,2.85,915,,phase3_real_model
0.25,E,142.1,1.284,1.22,1055,,phase3_real_model
0.375,E,111.1,1.233,1.53,937,,phase3_real_model
0.5,E,84.9,1.169,1.88,766,,phase3_real_model
0.625,E,62.9,1.139,2.34,653,,phase3_real_model
0.75,E,43.4,1.132,3.06,489,,phase3_real_model
0.25,OPT,110.6,1.000,,,,phase1_opt
0.375,OPT,90.1,1.000,,,,phase1_opt
0.5,OPT,72.6,1.000,,,,phase1_opt
0.625,OPT,55.2,1.000,,,,phase1_opt
0.75,OPT,38.3,1.000,,,,phase1_opt
