ratio,arm,tokens_s_median,tokens_s_reps,source
0.25,A,0.647,0.657|0.602|0.647,phase1_equal_budget
0.375,A,0.793,0.753|0.793|0.848,phase1_equal_budget
0.5,A,0.619,0.841|0.535|0.619,phase1_equal_budget
0.625,A,0.643,0.643|0.644|0.638,phase1_equal_budget
0.75,A,0.751,0.747|0.980|0.751,phase1_equal_budget
0.25,C,0.822,0.956|0.794|0.822,phase1_equal_budget
0.375,C,0.852,0.835|0.952|0.852,phase1_equal_budget
0.5,C,0.806,0.968|0.806|0.707,phase1_equal_budget
0.625,C,0.719,0.764|0.719|0.718,phase1_equal_budget
0.75,C,0.728,0.755|0.720|0.728,phase1_equal_budget
0.25,D,0.908,0.908|0.898|0.992,phase1_equal_budget
0.375,D,1.201,1.181|1.325|1.201,phase1_equal_budget
0.5,D,1.573,1.600|1.573|1.111,phase1_equal_budget
0.625,D,1.508,1.489|1.510|1.508,phase1_equal_budget
0.75,D,1.954,2.657|1.939|1.954,phase1_equal_budget
0.375,E,1.331,1.303|1.331|1.373,phase1_equal_budget
0.5,E,1.238,1.498|1.199|1.238,phase1_equal_budget
0.625,E,1.560,1.550|1.561|1.560,phase1_equal_budget
0.75,E,2.284,2.778|2.058|2.284,phase1_equal_budget
