cell,threads,window,compute,chunk_size,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,pager_bytes_fetched,rc
1,1,0,0,134217728,1,80,10737418240,3469242484,48,40,0,6442450944,0
1,1,0,0,134217728,2,80,10737418240,3129661092,48,40,0,6442450944,0
1,1,0,0,134217728,3,80,10737418240,3310478393,48,40,0,6442450944,0
1,1,0,0,134217728,4,80,10737418240,3298294993,48,40,0,6442450944,0
1,1,0,0,134217728,5,80,10737418240,3329159987,48,40,0,6442450944,0
2,1,0,400000,134217728,1,80,10737418240,9908210537,48,40,0,6442450944,0
2,1,0,400000,134217728,2,80,10737418240,10133947488,48,40,0,6442450944,0
2,1,0,400000,134217728,3,80,10737418240,10496255612,48,40,0,6442450944,0
2,1,0,400000,134217728,4,80,10737418240,9852054401,48,40,0,6442450944,0
2,1,0,400000,134217728,5,80,10737418240,10025557228,48,40,0,6442450944,0
3,8,0,0,134217728,1,80,10737418240,3359537101,48,40,0,6442450944,0
3,8,0,0,134217728,2,80,10737418240,3199834603,48,40,0,6442450944,0
3,8,0,0,134217728,3,80,10737418240,3172284788,48,40,0,6442450944,0
3,8,0,0,134217728,4,80,10737418240,2999225984,48,40,0,6442450944,0
3,8,0,0,134217728,5,80,10737418240,3043971393,48,40,0,6442450944,0
4,8,1,0,134217728,1,80,10737418240,3025495267,48,40,0,6442450944,0
4,8,1,0,134217728,2,80,10737418240,3095561831,48,40,0,6442450944,0
4,8,1,0,134217728,3,80,10737418240,3102469526,48,40,0,6442450944,0
4,8,1,0,134217728,4,80,10737418240,3078931859,48,40,0,6442450944,0
4,8,1,0,134217728,5,80,10737418240,3130757967,48,40,0,6442450944,0
5,8,1,400000,134217728,1,80,10737418240,5828595788,88,80,0,11811160064,0
5,8,1,400000,134217728,2,80,10737418240,5573189677,79,71,0,10603200512,0
5,8,1,400000,134217728,3,80,10737418240,6195446535,84,76,0,11274289152,0
5,8,1,400000,134217728,4,80,10737418240,5795117802,90,82,0,12079595520,0
5,8,1,400000,134217728,5,80,10737418240,5591601583,86,78,0,11542724608,0
6,8,1,400000,8388608,1,1280,10737418240,6592507140,1363,1235,0,11433672704,0
6,8,1,400000,8388608,2,1280,10737418240,6860277100,1372,1244,0,11509170176,0
6,8,1,400000,8388608,3,1280,10737418240,6282386738,1316,1188,0,11039408128,0
6,8,1,400000,8388608,4,1280,10737418240,6662973479,1388,1260,0,11643387904,0
6,8,1,400000,8388608,5,1280,10737418240,6479395079,1384,1256,0,11609833472,0
