chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.25,C,lru,0,1,1280,10737418240,5735129624,1280,1216,0,0,10737418240,10737422336,1194,5539,0,0
8388608,0.25,C,lru,0,2,1280,10737418240,5645484355,1280,1216,0,0,10737418240,10737418240,1179,5582,0,0
8388608,0.25,C,lru,0,3,1280,10737418240,5655492545,1280,1216,0,0,10737418240,10737418240,1203,5757,0,0
8388608,0.25,D,layer_order_learned,0,1,1280,10737418240,4826405454,1094,1030,0,0,9177137152,9177137152,1019,4907,0,0
8388608,0.25,D,layer_order_learned,0,2,1280,10737418240,4828126752,1089,1025,0,0,9135194112,9135194112,991,4857,0,0
8388608,0.25,D,layer_order_learned,0,3,1280,10737418240,4756707018,1095,1031,0,0,9185525760,9185525760,1008,4670,0,0
8388608,0.25,D,layer_order_declared,0,1,1280,10737418240,4593328451,1024,960,0,0,8589934592,8589934592,1005,4276,0,0
8388608,0.25,D,layer_order_declared,0,2,1280,10737418240,4492655489,1024,960,0,0,8589934592,8589934592,982,4540,0,0
8388608,0.25,D,layer_order_declared,0,3,1280,10737418240,4693396558,1024,960,0,0,8589934592,8589934592,948,4253,0,0
8388608,0.25,E,layer_order_learned,0,1,1280,10737418240,4388063435,659,1135,0,540,10057940992,10057940992,842,2923,0,0
8388608,0.25,E,layer_order_learned,0,2,1280,10737418240,4357018820,737,1167,0,494,10326376448,10326376448,775,3036,0,0
8388608,0.25,E,layer_order_learned,0,3,1280,10737418240,4462959994,676,1142,0,530,10116661248,10116661248,812,2925,0,0
8388608,0.25,E,layer_order_declared,0,1,1280,10737418240,3815308004,347,960,0,677,8589934592,8589934592,972,1580,0,0
8388608,0.25,E,layer_order_declared,0,2,1280,10737418240,3852035243,350,960,0,674,8589934592,8589934592,979,1592,0,0
8388608,0.25,E,layer_order_declared,0,3,1280,10737418240,3705282347,347,960,0,677,8589934592,8589934592,965,1615,0,0
8388608,0.25,C,lru,400000,1,1280,10737418240,6503694554,1280,1216,0,0,10737418240,10737418240,1280,1404,0,0
8388608,0.25,C,lru,400000,2,1280,10737418240,6530864763,1280,1216,0,0,10737418240,10737418240,1279,1204,0,0
8388608,0.25,C,lru,400000,3,1280,10737418240,6577216141,1280,1216,0,0,10737418240,10737418240,1280,1426,0,0
8388608,0.25,D,layer_order_learned,400000,1,1280,10737418240,7062439631,1410,1346,0,0,11827937280,11827937280,1071,2333,0,0
8388608,0.25,D,layer_order_learned,400000,2,1280,10737418240,6541443355,1344,1280,0,0,11274289152,11274289152,1073,2059,0,0
8388608,0.25,D,layer_order_learned,400000,3,1280,10737418240,6962732093,1384,1320,0,0,11609833472,11609833472,1065,2212,0,0
8388608,0.25,D,layer_order_declared,400000,1,1280,10737418240,5323322916,1024,960,0,0,8589934592,8589934592,1022,1156,0,0
8388608,0.25,D,layer_order_declared,400000,2,1280,10737418240,5465194001,1024,960,0,0,8589934592,8589934592,1023,1311,0,0
8388608,0.25,D,layer_order_declared,400000,3,1280,10737418240,5576161262,1024,960,0,0,8589934592,8589934592,1024,1043,0,0
8388608,0.25,E,layer_order_learned,400000,1,1280,10737418240,5708330854,786,1328,0,606,11676942336,11676942336,839,1664,0,0
8388608,0.25,E,layer_order_learned,400000,2,1280,10737418240,5425309557,750,1226,0,540,10821304320,10821304320,806,1534,0,0
8388608,0.25,E,layer_order_learned,400000,3,1280,10737418240,5558429678,773,1269,0,560,11182014464,11182014464,826,1452,0,0
8388608,0.25,E,layer_order_declared,400000,1,1280,10737418240,4339651493,346,960,0,678,8589934592,8589934592,1002,412,0,0
8388608,0.25,E,layer_order_declared,400000,2,1280,10737418240,4392131333,346,960,0,678,8589934592,8589934592,1003,426,0,0
8388608,0.25,E,layer_order_declared,400000,3,1280,10737418240,4314772278,346,960,0,678,8589934592,8589934592,998,443,0,0
8388608,0.5,C,lru,0,1,1280,10737418240,5689749202,1280,1152,0,0,10737418240,10737418240,1168,5623,0,0
8388608,0.5,C,lru,0,2,1280,10737418240,5528637844,1280,1152,0,0,10737418240,10737418240,1182,5598,0,0
8388608,0.5,C,lru,0,3,1280,10737418240,5630170784,1280,1152,0,0,10737418240,10737418240,1193,5471,0,0
8388608,0.5,D,layer_order_learned,0,1,1280,10737418240,3846046477,897,769,0,0,7524581376,7524581376,845,3955,0,0
