ratio,arm,policy,prefetch,rep,budget_bytes,n_prompt,n_decoded,layer_transitions,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_resident,dedup_fetching,resident_end,memory_peak,handler_p99_ns,vmhwm_kb,rc
0.25,A,mmap,off,1,526233600,16,64,2304,1.087,1277.36,1253.750,74.094,0.864,109589979136,,,,,,,,,,,,765548,0
0.25,C,lru,off,1,526233600,16,64,2304,0.188,1358.19,1204.258,66.432,0.963,144411901952,144412164096,2817,2813,0,0,0,1,487,479617024,618926080,134217727,1105324,0
0.25,D,layer_order_declared,off,1,526233600,16,64,2304,0.186,1164.77,910.724,56.362,1.136,126141300736,126141304832,2499,2495,0,0,0,1,469,479617024,609439744,134217727,1096432,0
0.25,E,layer_order_declared,on,1,526233600,,,,,,,,,,,,,,,,,,,,,,124
0.25,A,mmap,off,2,526233600,16,64,2304,0.629,1313.09,1388.589,82.768,0.773,124117786624,,,,,,,,,,,,767656,0
0.25,C,lru,off,2,526233600,16,64,2304,0.188,1338.14,1115.338,66.112,0.968,144411901952,144412164096,2817,2813,0,0,0,0,490,479617024,614354944,134217727,1105768,0
0.25,D,layer_order_declared,off,2,526233600,16,64,2304,0.196,1212.16,937.170,57.214,1.119,126141300736,126141304832,2499,2495,0,0,0,0,476,479617024,608546816,134217727,1096680,0
0.25,E,layer_order_declared,on,2,526233600,,,,,,,,,,,,,,,,,,,,,,124
0.5,A,mmap,off,1,1052467200,16,64,2304,0.653,1282.71,1204.416,71.314,0.897,105002663936,,,,,,,,,,,,1281328,0
0.5,C,lru,off,1,1052467200,16,64,2304,0.184,1492.07,1134.584,64.527,0.992,134509412352,134509674496,2561,2545,0,0,0,0,476,1041793024,1141071872,134217727,2132192,0
0.5,D,layer_order_declared,off,1,1052467200,16,64,2304,0.195,1282.12,616.947,37.792,1.693,79293825024,79293829120,1614,1598,0,0,0,0,42,1047740416,1141530624,134217727,2134004,0
0.5,E,layer_order_declared,on,1,1052467200,16,64,2304,0.186,969.53,644.309,35.034,1.827,85843681280,85890916352,759,1674,931,0,0,674,119,1035841536,1141653504,134217727,2134384,0
0.5,A,mmap,off,2,1052467200,16,64,2304,0.676,1232.47,1198.334,70.378,0.909,104356163584,,,,,,,,,,,,1282604,0
0.5,C,lru,off,2,1052467200,16,64,2304,0.189,1433.31,1027.908,62.946,1.017,134509412352,134509674496,2561,2545,0,0,0,1,469,1041793024,1141817344,134217727,2131932,0
0.5,D,layer_order_declared,off,2,1052467200,16,64,2304,0.195,1176.53,647.753,39.319,1.628,79293825024,79293829120,1614,1598,0,0,0,0,42,1047740416,1141809152,134217727,2134132,0
0.5,E,layer_order_declared,on,2,1052467200,16,64,2304,0.195,908.76,661.590,35.113,1.823,86898229248,86898233344,754,1663,925,0,0,657,189,1041928192,1141760000,134217727,2134160,0
0.75,A,mmap,off,1,1578700800,16,64,2304,0.800,915.70,1598.863,89.947,0.712,117727387648,,,,,,,,,,,,1795544,0
0.75,C,lru,off,1,1578700800,16,64,2304,0.186,1528.45,1120.469,64.177,0.997,134509412352,134509674496,2561,2533,0,0,0,1,475,1542615040,1666023424,134217727,3152036,0
0.75,D,layer_order_declared,off,1,1578700800,16,64,2304,0.230,1254.53,422.995,22.527,2.841,43361349632,43361353728,871,844,0,0,0,0,210,1536937984,1661919232,134217727,3148612,0
0.75,E,layer_order_declared,on,1,1578700800,16,64,2304,0.195,955.66,402.047,21.315,3.003,46235947008,46235951104,431,873,470,0,0,365,77,1542754304,1667735552,134217727,3160224,0
0.75,A,mmap,off,2,1578700800,16,64,2304,0.917,797.39,1163.282,47.667,1.343,58309132288,,,,,,,,,,,,1797712,0
0.75,C,lru,off,2,1578700800,16,64,2304,0.193,1702.51,1125.260,65.377,0.979,134509412352,134509674496,2561,2533,0,0,0,1,475,1542615040,1671241728,134217727,3151832,0
0.75,D,layer_order_declared,off,2,1578700800,16,64,2304,0.200,1348.10,477.922,23.694,2.701,43361349632,43361353728,871,844,0,0,0,1,204,1536937984,1661775872,134217727,3148448,0
0.75,E,layer_order_declared,on,2,1578700800,16,64,2304,0.191,958.68,385.618,21.237,3.014,46198243328,46198247424,428,870,470,0,0,369,77,1542754304,1667981312,134217727,3159744,0
