ratio,arm,depth,retention,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,compute_achieved,censored,exit_code
0.25,D,n/a,n/a,0,1,80,10737418240,4782913261,69,65,0,0,9261023232,9261023232,69,116,0,0.0,0,0
0.25,D,n/a,n/a,0,2,80,10737418240,4550966909,71,67,0,0,9529458688,9529458688,69,143,0,0.0,0,0
0.25,D,n/a,n/a,0,3,80,10737418240,4542747054,71,67,0,0,9529458688,9529458688,68,155,0,0.0,0,0
0.25,E,1,none,0,1,80,10737418240,4780281347,68,93,0,29,13019119616,13019119616,41,143,0,0.0,0,0
0.25,E,1,none,0,2,80,10737418240,5124831636,68,93,0,29,13019119616,13019119616,41,130,0,0.0,0,0
0.25,E,1,none,0,3,80,10737418240,5145588806,68,93,0,29,13019119616,13019119616,42,120,0,0.0,0,0
0.25,E,1,pinned,0,1,80,10737418240,5191487246,71,98,0,31,13690208256,13690208256,41,120,0,0.0,0,0
0.25,E,1,pinned,0,2,80,10737418240,4950618505,71,98,0,31,13690208256,13690208256,42,150,0,0.0,0,0
0.25,E,1,pinned,0,3,80,10737418240,5113020665,71,98,0,31,13690208256,13690208256,42,150,0,0.0,0,0
0.25,E,2,none,0,1,80,10737418240,4600505214,52,92,0,44,12884901888,12884901888,55,132,0,0.0,0,0
0.25,E,2,none,0,2,80,10737418240,4521936981,55,89,0,38,12482248704,12482248704,45,136,0,0.0,0,0
0.25,E,2,none,0,3,80,10737418240,4492197115,51,87,0,40,12213813248,12213813248,56,133,0,0.0,0,0
0.25,E,2,pinned,0,1,80,10737418240,4317540398,53,86,1,37,12079595520,12079595520,53,124,3,0.0,0,0
0.25,E,2,pinned,0,2,80,10737418240,4539008631,65,97,5,36,13555990528,13555990528,48,115,12,0.0,0,0
0.25,E,2,pinned,0,3,80,10737418240,4285904995,54,88,1,38,12348030976,12348030976,48,132,6,0.0,0,0
0.25,E,4,none,0,1,80,10737418240,4832896352,42,108,0,70,15032385536,15032385536,60,128,0,0.0,0,0
0.25,E,4,none,0,2,80,10737418240,5164705146,45,122,0,81,16911433728,16911433728,51,143,0,0.0,0,0
0.25,E,4,none,0,1,80,10737418240,6041500033,46,113,0,71,15703474176,15703474176,56,114,0,0.0,0,0
0.25,E,4,none,0,2,80,10737418240,5517379279,43,115,0,76,15971909632,15971909632,61,92,0,0.0,0,0
0.25,E,4,none,0,3,80,10737418240,4940969960,41,103,0,66,14361296896,14361296896,56,125,0,0.0,0,0
0.25,E,4,pinned,0,1,80,10737418240,13336204813,69,119,43,54,16508780544,16508780544,38,137,40,0.0,0,0
0.25,E,4,pinned,0,2,80,10737418240,6054219402,64,104,59,44,14495514624,14495514624,38,168,27,0.0,0,0
0.25,E,4,pinned,0,3,80,10737418240,6055089014,64,110,29,50,15300820992,15300820992,33,144,31,0.0,0,0
0.25,D,n/a,n/a,100000,1,80,10737418240,5534959223,74,70,0,0,9932111872,9932111872,69,95,0,287850.9,0,0
0.25,D,n/a,n/a,100000,2,80,10737418240,5128302929,71,67,0,0,9529458688,9529458688,70,69,0,233307.5,0,0
0.25,D,n/a,n/a,100000,3,80,10737418240,4384788251,69,65,0,0,9261023232,9261023232,69,87,0,189946.3,0,0
0.25,E,1,none,100000,1,80,10737418240,5670127764,78,106,0,32,14763950080,14763950080,57,122,0,710766.5,0,0
0.25,E,1,none,100000,2,80,10737418240,5528005991,74,100,0,30,13958643712,13958643712,58,140,0,665254.6,0,0
0.25,E,1,none,100000,3,80,10737418240,5608154237,72,100,0,32,13958643712,13958643712,65,143,0,835387.7,0,0
0.25,E,1,pinned,100000,1,80,10737418240,5491210758,70,96,0,30,13421772800,13421772800,51,121,0,434583.6,0,0
0.25,E,1,pinned,100000,2,80,10737418240,5337110900,70,93,0,27,13019119616,13019119616,51,124,0,540890.2,0,0
0.25,E,1,pinned,100000,3,80,10737418240,5335359953,69,94,0,29,13153337344,13153337344,56,137,0,552336.7,0,0
0.25,E,2,none,100000,1,80,10737418240,5337859066,54,100,0,50,13958643712,13958643712,58,125,0,436380.7,0,0
0.25,E,2,none,100000,2,80,10737418240,5575169181,56,103,0,51,14361296896,14361296896,60,134,0,674703.0,0,0
0.25,E,2,none,100000,3,80,10737418240,5516037905,55,97,0,46,13555990528,13555990528,58,127,0,422744.4,0,0
0.25,E,2,pinned,100000,1,80,10737418240,6939941304,57,93,0,40,13019119616,13019119616,55,117,5,490722.4,0,0
0.25,E,2,pinned,100000,2,80,10737418240,6084637494,61,96,2,39,13421772800,13421772800,47,111,7,539443.8,0,0
0.25,E,2,pinned,100000,3,80,10737418240,5283328126,58,99,0,45,13824425984,13824425984,48,127,8,495801.5,0,0
0.25,E,4,none,100000,1,80,10737418240,5606197491,46,117,0,75,16240345088,16240345088,62,87,0,489471.1,0,0
0.25,E,4,none,100000,2,80,10737418240,5466723043,44,115,0,75,15971909632,15971909632,65,94,0,342757.2,0,0
0.25,E,4,none,100000,3,80,10737418240,6102077117,54,127,0,77,17582522368,17582522368,53,130,0,634472.3,0,0
0.25,E,4,pinned,100000,1,80,10737418240,6805991866,73,127,43,58,17582522368,17582522368,46,173,37,706786.2,0,0
0.25,E,4,pinned,100000,2,80,10737418240,5675642023,67,118,30,55,16374562816,16374562816,40,124,30,430113.9,0,0
0.25,E,4,pinned,100000,3,80,10737418240,6039223975,70,121,44,55,16777216000,16777216000,37,145,32,468162.7,0,0
