chunk_size,ratio,arm,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,censored,exit_code
33554432,0.25,A,1,320,10737418240,3373738664,n/a,n/a,n/a,n/a,n/a,10737451008,n/a,n/a,n/a,0,0
33554432,0.25,A,2,320,10737418240,2486949561,n/a,n/a,n/a,n/a,n/a,7738490880,n/a,n/a,n/a,0,0
33554432,0.25,A,3,320,10737418240,2061318156,n/a,n/a,n/a,n/a,n/a,4739096576,n/a,n/a,n/a,0,0
33554432,0.25,C,1,320,10737418240,8885684041,320,304,0,0,10737418240,10737418240,319,449,0,0,0
33554432,0.25,C,2,320,10737418240,6311845181,320,304,0,0,10737418240,10737418240,319,436,0,0,0
33554432,0.25,C,3,320,10737418240,6135913871,320,304,0,0,10737418240,10737426432,320,426,0,0,0
33554432,0.25,D,1,320,10737418240,6359369813,350,334,0,0,11744051200,11744051200,259,626,0,0,0
33554432,0.25,D,2,320,10737418240,6459807937,351,335,0,0,11777605632,11777605632,257,750,0,0,0
33554432,0.25,D,3,320,10737418240,6081454950,341,325,0,0,11442061312,11442061312,274,631,0,0,0
33554432,0.25,E,1,320,10737418240,5493090115,221,340,0,135,11945377792,11945377792,193,434,0,0,0
33554432,0.25,E,2,320,10737418240,5640736150,231,346,0,131,12146704384,12146704384,201,509,0,0,0
33554432,0.25,E,3,320,10737418240,5216029567,214,331,0,133,11643387904,11643387904,182,483,0,0,0
33554432,0.5,A,1,320,10737418240,481282202,n/a,n/a,n/a,n/a,n/a,350040064,n/a,n/a,n/a,0,0
33554432,0.5,A,2,320,10737418240,36492111,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
33554432,0.5,A,3,320,10737418240,35976638,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
33554432,0.5,C,1,320,10737418240,6950201408,320,288,0,0,10737418240,10737418240,320,434,0,0,0
33554432,0.5,C,2,320,10737418240,6111662946,320,288,0,0,10737418240,10737418240,320,467,0,0,0
33554432,0.5,C,3,320,10737418240,6636396487,320,288,0,0,10737418240,10737418240,319,443,0,0,0
33554432,0.5,D,1,320,10737418240,5387248866,272,240,0,0,9126805504,9126805504,235,459,0,0,0
33554432,0.5,D,2,320,10737418240,5452607561,269,237,0,0,9026142208,9026142208,228,426,0,0,0
33554432,0.5,D,3,320,10737418240,5408901686,261,229,0,0,8757706752,8757706752,224,428,0,0,0
33554432,0.5,E,1,320,10737418240,4908476126,175,240,0,97,9126805504,9126805504,176,334,0,0,0
