ratio,arm,detail,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,prefetch_declined,censored,exit_code
0.25,A,mmap_normal_off,1,80,10737418240,3267821371,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.25,A,mmap_normal_off,2,80,10737418240,3145079841,n/a,n/a,n/a,n/a,,10743746560,,,,0,0
0.25,A,mmap_normal_off,3,80,10737418240,3511719125,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.25,A,mmap_random_off,1,,,,,,,,,,,,,0,124
0.25,A,mmap_random_off,2,80,10737418240,168057564483,n/a,n/a,n/a,n/a,,10737238016,,,,0,0
0.25,A,mmap_random_off,3,80,10737418240,162703132503,n/a,n/a,n/a,n/a,,10736963584,,,,0,0
0.25,A,mmap_sequential_off,1,80,10737418240,2761966053,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.25,A,mmap_sequential_off,2,80,10737418240,2688582542,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.25,A,mmap_sequential_off,3,80,10737418240,2814987299,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.25,B,mmap_sequential_on,1,80,10737418240,3642912639,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.25,B,mmap_sequential_on,2,80,10737418240,3585438251,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.25,B,mmap_sequential_on,3,80,10737418240,3551875898,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.25,C,lru_off,1,80,10737418240,5692460945,80,76,0,0,10737418240,10737418240,0,0,0,0,0
0.25,C,lru_off,2,80,10737418240,5171651218,80,76,0,0,10737418240,10737418240,0,0,0,0,0
0.25,C,lru_off,3,80,10737418240,5104773244,80,76,0,0,10737418240,10737418240,0,0,0,0,0
0.25,D,layer_order_off,1,80,10737418240,4657899149,69,65,0,0,9261023232,9261023232,0,0,0,0,0
0.25,D,layer_order_off,2,80,10737418240,4453832931,69,65,0,0,9261023232,9261023232,0,0,0,0,0
0.25,D,layer_order_off,3,80,10737418240,4468442613,69,65,0,0,9261023232,9261023232,0,0,0,0,0
