ratio,admission,depth,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,prefetch_declined,censored,exit_code
0.25,guarded,2,1,80,10737418240,4903562644,43,82,0,43,11542724608,11542724608,0,0,0
0.25,guarded,2,2,80,10737418240,4545464879,43,82,0,43,11542724608,11542724608,0,0,0
0.25,guarded,2,3,80,10737418240,4583041479,43,84,0,45,11811160064,11811160064,0,0,0
0.25,always,2,1,80,10737418240,4558340150,43,84,0,45,11811160064,11811160064,0,0,0
0.25,always,2,2,80,10737418240,4573649408,43,84,0,45,11811160064,11811160064,0,0,0
0.25,always,2,3,80,10737418240,4511827737,43,84,0,45,11811160064,11811160064,0,0,0
0.25,guarded,4,1,80,10737418240,4659368151,35,100,0,69,13958643712,13958643712,0,0,0
0.25,guarded,4,2,80,10737418240,4500395660,35,100,0,69,13958643712,13958643712,0,0,0
0.25,guarded,4,3,80,10737418240,4668833509,37,102,0,69,14227079168,14227079168,0,0,0
0.25,always,4,1,80,10737418240,4658458265,37,102,0,69,14227079168,14227079168,0,0,0
0.25,always,4,2,80,10737418240,4495059837,35,100,0,69,13958643712,13958643712,0,0,0
0.25,always,4,3,80,10737418240,4550462819,36,99,0,67,13824425984,13824425984,0,0,0
0.5,guarded,2,1,80,10737418240,4281959685,42,70,0,36,10468982784,10468986880,0,0,0
0.5,guarded,2,2,80,10737418240,4173620147,42,69,0,35,10334765056,10334765056,0,0,0
0.5,guarded,2,3,80,10737418240,4245991990,42,70,0,36,10468982784,10468982784,0,0,0
0.5,always,2,1,80,10737418240,4247672418,42,70,0,36,10468982784,10468982784,0,0,0
0.5,always,2,2,80,10737418240,4308396453,42,70,0,36,10468982784,10468982784,0,0,0
0.5,always,2,3,80,10737418240,3926334011,41,65,0,32,9797894144,9797894144,0,0,0
0.5,guarded,4,1,80,10737418240,3664157944,35,66,0,39,9932111872,9932111872,0,0,0
0.5,guarded,4,2,80,10737418240,3593526739,35,66,0,39,9932111872,9932111872,0,0,0
0.5,guarded,4,3,80,10737418240,3902204112,35,66,0,39,9932111872,9932111872,0,0,0
0.5,always,4,1,80,10737418240,3572047586,35,66,0,39,9932111872,9932111872,0,0,0
0.5,always,4,2,80,10737418240,3459745114,35,66,0,39,9932111872,9932111872,0,0,0
0.5,always,4,3,80,10737418240,3423403884,35,66,0,39,9932111872,9932111872,0,0,0
0.75,guarded,2,1,80,10737418240,2492809830,27,29,0,14,5502926848,5502926848,0,0,0
0.75,guarded,2,2,80,10737418240,2566330598,27,29,0,14,5502926848,5502926848,0,0,0
0.75,guarded,2,3,80,10737418240,2322300077,27,29,0,14,5502926848,5502926848,0,0,0
0.75,always,2,1,80,10737418240,2374462861,27,29,0,14,5502926848,5502926848,0,0,0
0.75,always,2,2,80,10737418240,2476640764,27,29,0,14,5502926848,5502926848,0,0,0
0.75,always,2,3,80,10737418240,2513034384,27,29,0,14,5502926848,5502926848,0,0,0
0.75,guarded,4,1,80,10737418240,2394401236,26,36,0,22,6442450944,6442450944,0,0,0
0.75,guarded,4,2,80,10737418240,2416001595,26,36,0,22,6442450944,6442450944,0,0,0
0.75,guarded,4,3,80,10737418240,2943246286,26,36,0,22,6442450944,6442450944,0,0,0
0.75,always,4,1,80,10737418240,2461993607,26,36,0,22,6442450944,6442450944,0,0,0
0.75,always,4,2,80,10737418240,3443189795,26,36,0,22,6442450944,6442450944,0,0,0
0.75,always,4,3,80,10737418240,2879072092,26,36,0,22,6442450944,6442450944,0,0,0
