ratio,retention,depth,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,pin_broken,censored,exit_code
0.25,none,2,1,80,10737418240,4849212562,43,84,0,45,11811160064,11811160064,0,0,0
0.25,none,2,2,80,10737418240,4604814007,56,92,0,40,12884901888,12884901888,0,0,0
0.25,none,2,3,80,10737418240,4318881268,43,80,0,41,11274289152,11274289152,0,0,0
0.25,pinned,2,1,80,10737418240,4644685380,52,87,1,39,12213813248,12213813248,9,0,0
0.25,pinned,2,2,80,10737418240,4480771847,54,89,1,39,12482248704,12482248704,7,0,0
0.25,pinned,2,3,80,10737418240,4446195840,47,85,0,42,11945377792,11945377792,4,0,0
0.25,none,4,1,80,10737418240,4648364079,38,97,0,63,13555990528,13555990528,0,0,0
0.25,none,4,2,80,10737418240,4801664113,40,112,0,76,15569256448,15569256448,0,0,0
0.25,none,4,3,80,10737418240,4808295210,41,109,0,72,15166603264,15166603264,0,0,0
0.25,pinned,4,1,80,10737418240,4411528579,56,93,44,41,13019119616,13019119616,23,0,0
0.25,pinned,4,2,80,10737418240,4714455334,64,105,39,45,14629732352,14629732352,29,0,0
0.25,pinned,4,3,80,10737418240,4792026916,57,103,38,50,14361296896,14361296896,28,0,0
0.5,none,2,1,80,10737418240,4443835932,47,77,0,38,11408506880,11408506880,0,0,0
0.5,none,2,2,80,10737418240,4153690539,43,72,0,37,10737418240,10737418240,0,0,0
0.5,none,2,3,80,10737418240,4322218556,44,75,0,39,11140071424,11140071424,0,0,0
0.5,pinned,2,1,80,10737418240,3960516041,40,64,0,32,9663676416,9663676416,0,0,0
0.5,pinned,2,2,80,10737418240,3829810588,42,66,0,32,9932111872,9932111872,0,0,0
0.5,pinned,2,3,80,10737418240,3770874149,41,62,0,29,9395240960,9395240960,0,0,0
0.5,none,4,1,80,10737418240,3701305116,35,66,0,39,9932111872,9932111872,0,0,0
0.5,none,4,2,80,10737418240,3802396792,34,68,0,42,10200547328,10200547328,0,0,0
0.5,none,4,3,80,10737418240,3670810612,35,66,0,39,9932111872,9932111872,0,0,0
0.5,pinned,4,1,80,10737418240,4027909746,40,75,0,43,11140071424,11140071424,0,0,0
0.5,pinned,4,2,80,10737418240,3847219504,34,72,0,46,10737418240,10737418240,0,0,0
0.5,pinned,4,3,80,10737418240,3785673734,33,70,0,45,10468982784,10468982784,0,0,0
0.75,none,2,1,80,10737418240,2662063942,27,29,0,14,5502926848,5502926848,0,0,0
0.75,none,2,2,80,10737418240,2476470060,27,29,0,14,5502926848,5502926848,0,0,0
0.75,none,2,3,80,10737418240,2624831729,31,33,0,14,6039797760,6039797760,0,0,0
0.75,pinned,2,1,80,10737418240,2811507521,31,30,0,11,5637144576,5637144576,0,0,0
0.75,pinned,2,2,80,10737418240,3049659204,36,39,0,15,6845104128,6845104128,0,0,0
0.75,pinned,2,3,80,10737418240,2866191804,34,33,0,11,6039797760,6039797760,0,0,0
0.75,none,4,1,80,10737418240,2601319113,26,36,0,22,6442450944,6442450944,0,0,0
0.75,none,4,2,80,10737418240,2639445532,26,36,0,22,6442450944,6442450944,0,0,0
0.75,none,4,3,80,10737418240,2689873903,29,36,0,19,6442450944,6442450944,0,0,0
0.75,pinned,4,1,80,10737418240,2709700718,27,32,0,17,5905580032,5905580032,0,0,0
0.75,pinned,4,2,80,10737418240,2449966684,26,32,0,18,5905580032,5905584128,0,0,0
0.75,pinned,4,3,80,10737418240,2762214998,28,31,0,15,5771362304,5771362304,0,0,0
